direction,time_bin,time_low,time_high,samples,A_mean,A_se,B_mean,B_se,AB_mean,B2_mean,gamma_hat_mean,gamma_hat_sample_ls,predicted_reduction_gamma1_mean_residual,predicted_reduction_gamma1_sample_ls,B_positive_fraction,direction_rms,euclidean_B_mean,euclidean_cosine_mean
internal_depth12,q1,0.25,0.5,1088,0.00036018161084511494,0.00033862784168214925,-0.00034763398702232414,1.2311847522372367e-05,1.4748362359190082e-08,2.8561857662621454e-07,-1.0360943529436466,0.05163656556727079,-3.712721277934584e-07,-2.561218519078691e-07,0.1792279411764706,0.8840584203028843,0.006461682712303146,0.0010027212013614594
internal_depth12,q2,0.5,0.75,1017,0.0004312393882594849,0.000286141070446816,-0.00048825456155495535,9.618789209971905e-06,-1.438712774858815e-07,3.3239396043894755e-07,-0.8832265424947737,-0.43283360893769024,-6.595017137589455e-07,-6.201365154107015e-07,0.028515240904621434,0.9057107860222291,-0.2708263522748457,-0.005016402850270044
internal_depth12,q3,0.75,1.0,997,-0.0002070423413545394,0.0003381658963344015,-0.0005228243840909075,7.991178893931902e-06,-1.8013182583231844e-08,3.369488409544002e-07,0.39600743128028887,-0.05345969593547169,-5.6851767401183775e-08,-3.7297520612088316e-07,0.014042126379137413,0.7819289579130695,-0.18795059224517796,-0.0039490821888803485
x800_parallel_to_strong,overall,0.0,1.0,4096,-9.533040018538941e-05,0.00034872710433799236,-0.00036269350781493667,3.358320842916879e-05,-4.0816037465583194e-07,4.7500181635967984e-06,0.2628401064019913,-0.08592817134551031,-6.239514612182238e-08,-5.566338912908406e-06,0.362548828125,7.070701010837201,-0.24723641906241767,-0.002693327305839469
x800_parallel_to_strong,high_noise,0.0,0.5,2082,-0.0002990502222328412,0.0006518985409918579,-6.94090225848608e-05,7.737017251250008e-06,-2.655087311152154e-08,1.293892606201034e-07,4.308520867978174,-0.2052015212412172,3.669595484174813e-08,-1.8249100684319518e-07,0.42267050912584053,0.5248602597955655,-0.06920774547228528,-0.0020803195924294898
x800_parallel_to_strong,low_noise,0.5,1.0,2014,0.00011526774753198627,0.0002211967769172874,-0.0006658803490507947,6.717365497649581e-05,-8.026544075333167e-07,9.526656384052347e-06,-0.17310579550259925,-0.08425352769907421,-5.969056951738038e-07,-1.1131965199118993e-05,0.30039721946375375,10.069401854367575,-0.4312759912643321,-0.003327032399841245
x800_parallel_to_strong,q0,0.0,0.25,994,-0.0010206238986803424,0.0013141632020710816,-1.9774958752256115e-05,1.1627410649271952e-05,-2.71185305220236e-07,1.3464135065160873e-07,51.61193565391887,-2.014130903380059,3.9974542002287854e-08,-6.770119610921988e-07,0.5100603621730382,0.3792458011392263,-0.09045609088151499,-0.0036726300658744353
x800_parallel_to_strong,q1,0.25,0.5,1088,0.00036018161084511494,0.00033862784168214925,-0.00011475484928486915,1.0124444640946183e-05,1.9694786357603559e-07,1.245909357199966e-07,-3.1387049269786824,1.5807559549809678,-9.583384836981817e-08,2.6930479143203617e-07,0.3428308823529412,0.6290905778407931,-0.049795194611279466,-0.0006255800606240885
x800_parallel_to_strong,q2,0.5,0.75,1017,0.0004312393882594849,0.000286141070446816,-0.0001887400113034302,1.2014096863913692e-05,2.1282717671621978e-08,1.8227073169760756e-07,-2.2848329046997753,0.11676431796483171,-1.9840704589597797e-07,-1.3970529635435312e-07,0.2743362831858407,1.2523911096091889,-0.3551143885151947,-0.004506529308370656
x800_parallel_to_strong,q3,0.75,1.0,997,-0.0002070423413545394,0.0003381658963344015,-0.001152592208117063,0.00013342124348951652,-1.6431198602248142e-06,1.9058492099643894e-05,0.17963191135291026,-0.08621457834303249,-8.511980194210567e-07,-2.2344731820093526e-05,0.32698094282848544,14.25551538201924,-0.5089654095149566,-0.0021238745703784454
x800_orthogonal_to_strong,overall,0.0,1.0,4096,-9.533040018538941e-05,0.00034872710433799236,1.196469985309534e-06,3.366826772556701e-05,-3.7153127772099184e-06,4.641897902008106e-06,-79.67638248838048,-0.8003865779991967,-2.2955146544447734e-10,-1.207252345642785e-05,0.50048828125,8.144761961365136,-30.209429508749963,-0.06117790727482766
x800_orthogonal_to_strong,high_noise,0.0,0.5,2082,-0.0002990502222328412,0.0006518985409918579,3.893775881650991e-05,5.161004440500144e-05,-4.575564852028493e-06,5.544460847396479e-06,-7.680211479096266,-0.8252497362619213,-2.480483991630481e-08,-1.4695590551453558e-05,0.5235350624399616,5.478597900758467,-14.942516801250772,-0.048791649906513516
x800_orthogonal_to_strong,low_noise,0.5,1.0,2014,0.00011526774753198627,0.0002211967769172874,-3.781910267931766e-05,4.291554599193344e-05,-2.8260154486238845e-06,3.708861133240185e-06,-3.0478710325145646,-0.7619631329132517,-1.0148930086520478e-08,-9.360892030487974e-06,0.4766633565044687,10.192429892273378,-45.99180898095121,-0.07398236995647119
x800_orthogonal_to_strong,q0,0.0,0.25,994,-0.0010206238986803424,0.0013141632020710816,-0.00012169827002236972,8.963072696630251e-05,-8.284035913256365e-06,7.992242014918752e-06,8.386511151660072,-1.0365096424498825,2.3360585669933056e-07,-2.4560313841431435e-05,0.5,3.3502439544939144,-6.25946974409538,-0.03680101939848547
x800_orthogonal_to_strong,q1,0.25,0.5,1088,0.00036018161084511494,0.00033862784168214925,0.0001856953072226187,5.487862350344774e-05,-1.1874947832228818e-06,3.308160773391756e-06,1.9396376582274926,-0.3589592116484048,9.928532263913986e-08,-5.6831503398375636e-06,0.5450367647058824,6.868948743021208,-22.875374131041635,-0.05974632520520825
x800_orthogonal_to_strong,q2,0.5,0.75,1017,0.0004312393882594849,0.000286141070446816,8.82990844338842e-05,5.4798444510306526e-05,-1.2271321298292125e-06,3.0587121613929936e-06,4.8838489212465666,-0.40119241859958277,6.835935799841946e-08,-5.512976421051419e-06,0.5063913470993117,10.304292166144686,-46.774801996488016,-0.07818333095180614
x800_orthogonal_to_strong,q3,0.75,1.0,997,-0.0002070423413545394,0.0003381658963344015,-0.0001664672433955928,6.60438340785651e-05,-4.456972655458572e-06,4.372052210841583e-06,1.2437422349964906,-1.0194234744970354,4.12201925391915e-08,-1.328599752175875e-05,0.4463390170511535,10.077044357909413,-45.193108984159906,-0.06969713692512146
v500_parallel_to_strong,overall,0.0,1.0,4096,-9.533040018538941e-05,0.00034872710433799236,-4.5171448770586764e-05,3.1194181023033546e-06,-2.981419685651112e-08,4.188796005515827e-08,2.1104127226369473,-0.7117605349425382,6.57196479247396e-09,-1.015163537681921e-07,0.367919921875,0.36971905618339845,-0.0426820749336585,-0.0013053341013384025
v500_parallel_to_strong,high_noise,0.0,0.5,2082,-0.0002990502222328412,0.0006518985409918579,-4.164381151652892e-05,5.434595851599031e-06,2.5595746599562754e-08,6.319619257574666e-08,7.181144360768818,0.40502039056995104,2.3172975139656854e-08,-1.2004699376818966e-08,0.4116234390009606,0.31695532725379466,-0.002421654114178959,0.0003950283899737896
v500_parallel_to_strong,low_noise,0.5,1.0,2014,0.00011526774753198627,0.0002211967769172874,-4.8818191949806445e-05,2.9465403922679433e-06,-8.709498249481595e-08,1.9860283735463622e-08,-2.3611637983336515,-4.385384602501642,-1.3637541914524817e-08,-1.9405024872509442e-07,0.3227408142999007,0.41730922517433816,-0.08430183468845313,-0.003063107044194403
v500_parallel_to_strong,q0,0.0,0.25,994,-0.0010206238986803424,0.0013141632020710816,-2.4965072934059283e-05,9.358505798582956e-06,5.562334359112235e-08,8.759181423323895e-08,40.88207157960786,0.635029015873662,5.0336645270994446e-08,2.3654872948874334e-08,0.4708249496981891,0.27175976585164774,0.00608095081848766,0.0012230794901894185
