step_index,t,s,beta,count,Y_second_moment,W_second_moment,d2_W2_minus_Y2,e2_R2_reconstructed,cross_twice_d2_minus_e2,cross_YR_reconstructed,channel_spatial_mean_residual_squared_mean,channel_d2_negative_count,channel_d2_zero_count,channel_d2_positive_count
45,0.9072164297103882,0.9037656784057617,0.0038036692421883345,100,0.8262833490459047,0.8262851274539158,1.7784080109970813e-06,5.344919124778921e-06,-3.56651111378184e-06,-1.78325555689092e-06,8.084982882765115e-09,512,0,512
46,0.9037656784057617,0.9002123475074768,0.0039316946640610695,100,0.8199148847352206,0.8199182369303866,3.352195165990551e-06,5.50794903238974e-06,-2.1557538663991896e-06,-1.0778769331995948e-06,8.170090323488375e-09,509,0,515
47,0.9002123475074768,0.8965517282485962,0.004066395107656717,100,0.8149298740523123,0.8149312314001002,1.3573477878568978e-06,5.890024984863828e-06,-4.5326771970069304e-06,-2.2663385985034652e-06,9.097847083255627e-09,506,0,518
48,0.8965517282485962,0.8927790522575378,0.004207984544336796,100,0.8082897450008165,0.8082920302675491,2.2852667326294556e-06,6.1143673251791765e-06,-3.829100592549721e-06,-1.9145502962748605e-06,8.972491639862436e-09,493,0,531
49,0.8927790522575378,0.8888888955116272,0.0043573565781116486,100,0.802551524260301,0.8025571352722858,5.611011984728081e-06,6.441827045385979e-06,-8.308150606578978e-07,-4.154075303289489e-07,9.357111519415289e-09,480,0,544
50,0.8888888955116272,0.8848758339881897,0.0045146942138671875,100,0.7964482324365241,0.7964544783542258,6.245917701880083e-06,6.95624171994586e-06,-7.103240180657775e-07,-3.5516200903288875e-07,1.0871369896365146e-08,467,0,557
51,0.8848758339881897,0.8807339668273926,0.0046807327307760715,100,0.7895870266508912,0.7895924307923397,5.404141448410362e-06,7.039409120651959e-06,-1.6352676722415965e-06,-8.176338361207983e-07,1.1295520210655284e-08,455,0,569
52,0.8807339668273926,0.8764568567276001,0.004856301937252283,100,0.7839433494910004,0.7839505363696432,7.186878642799748e-06,7.675190755520065e-06,-4.883121127203168e-07,-2.441560563601584e-07,1.2530162413705636e-08,459,0,565
53,0.8764568567276001,0.8720378875732422,0.005041855853050947,100,0.776517067453136,0.7765244812165578,7.413763421783748e-06,8.246694839769891e-06,-8.329314179861429e-07,-4.1646570899307145e-07,1.304987572043584e-08,455,0,569
54,0.8720378875732422,0.8674699068069458,0.00523828249424696,100,0.7698929984781315,0.7699024785008466,9.480022714998364e-06,8.254598368799014e-06,1.2254243461993494e-06,6.127121730996747e-07,1.4682076567143005e-08,447,0,577
55,0.8674699068069458,0.8627451062202454,0.005446644965559244,100,0.7635445386872792,0.7635547484564196,1.020976914040074e-05,9.150178549904595e-06,1.0595905904961444e-06,5.297952952480722e-07,1.4658852664242448e-08,433,0,591
56,0.8627451062202454,0.8578553795814514,0.0056676375679671764,100,0.7555220734958625,0.755535836987724,1.3763491861363132e-05,9.518919168228224e-06,4.244572693134908e-06,2.122286346567454e-06,1.4929366115874625e-08,416,0,608
57,0.8578553795814514,0.8527919054031372,0.0059024798683822155,100,0.7494551179844711,0.7494672612857631,1.2143301292091044e-05,1.0322894969527833e-05,1.820406322563211e-06,9.102031612816055e-07,1.699805425711643e-08,416,0,608
58,0.8527919054031372,0.8475452661514282,0.006152309011667967,100,0.741244557141498,0.7412589703931158,1.4413251617820992e-05,1.0822122453272066e-05,3.591129164548926e-06,1.795564582274463e-06,1.7367545342367727e-08,402,0,622
59,0.8475452661514282,0.8421052694320679,0.0064185322262346745,100,0.7341047296048311,0.7341252294141066,2.0499809275542407e-05,1.1525615699679228e-05,8.97419357586318e-06,4.48709678793159e-06,1.8243897711307982e-08,368,0,656
60,0.8421052694320679,0.836461067199707,0.006702490150928497,100,0.7268654703028163,0.7268846269444531,1.9156641636863966e-05,1.2678069547141827e-05,6.478572089722139e-06,3.2392860448610694e-06,2.0820568034274122e-08,386,0,638
61,0.836461067199707,0.8306010961532593,0.007005671039223671,100,0.7183044099763921,0.7183247495796532,2.0339603261054794e-05,1.2952771447601579e-05,7.386831813453215e-06,3.6934159067266077e-06,2.201478597040825e-08,387,0,637
62,0.8306010961532593,0.8245124816894531,0.007330371532589197,100,0.7111989547618484,0.7112186379153362,1.9683153487924133e-05,1.4328584781763243e-05,5.354568706160891e-06,2.6772843530804453e-06,2.485035871930249e-08,384,0,640
63,0.8245124816894531,0.8181818127632141,0.007678075227886438,100,0.701896218184229,0.7019157970536222,1.9578869393232232e-05,1.552721285409011e-05,4.0516565391421225e-06,2.0258282695710612e-06,2.560692955174055e-08,384,0,640
64,0.8181818127632141,0.8115941882133484,0.00805154163390398,100,0.6937823944326829,0.6938067057601123,2.4311327429421526e-05,1.5905227328304436e-05,8.40610010111709e-06,4.203050050558545e-06,2.9550983118436685e-08,360,0,664
65,0.8115941882133484,0.8047336935997009,0.008453109301626682,100,0.6864060380339055,0.6864289369550465,2.2898921140896778e-05,1.7878879324894552e-05,5.0200418160022254e-06,2.5100209080011127e-06,3.0187195229555944e-08,396,0,628
66,0.8047336935997009,0.7975830435752869,0.008885734714567661,100,0.6761398279210351,0.6761668512983042,2.7023377269106948e-05,1.897522402817769e-05,8.048153240929259e-06,4.024076620464629e-06,3.228389522808353e-08,360,0,664
67,0.7975830435752869,0.790123462677002,0.009352732449769974,100,0.6691135612861028,0.6691383889758906,2.482768978779963e-05,2.0957951807751484e-05,3.869737980048148e-06,1.934868990024074e-06,3.6665149206681865e-08,381,0,643
68,0.790123462677002,0.7823343873023987,0.009858048520982265,100,0.6589541860349053,0.658984574136194,3.0388101288802765e-05,2.247553545047698e-05,7.912565838325784e-06,3.956282919162892e-06,3.8107359645831167e-08,359,0,665
69,0.7823343873023987,0.774193525314331,0.010405859909951687,100,0.6502993520747049,0.6503333546153196,3.4002540614663486e-05,2.4395047072149922e-05,9.607493542513564e-06,4.803746771256782e-06,4.2293237020831835e-08,341,0,683
70,0.774193525314331,0.7656765580177307,0.011001083068549633,100,0.642186256330251,0.6422143808272376,2.812449698675549e-05,2.747324895554453e-05,6.512480312109612e-07,3.256240156054806e-07,4.955489100044306e-08,384,0,640
71,0.7656765580177307,0.7567567229270935,0.011649612337350845,100,0.63161538537326,0.6316508263321762,3.544095891606306e-05,2.8765626381239547e-05,6.675332534823516e-06,3.337666267411758e-06,5.147734854086354e-08,369,0,655
72,0.7567567229270935,0.7474048137664795,0.012357880361378193,100,0.6232265367931789,0.623259713037871,3.31762446920483e-05,3.255442248361314e-05,6.218222084351655e-07,3.1091110421758276e-07,5.8628853642062486e-08,376,0,648
73,0.7474048137664795,0.73758864402771,0.013133672066032887,100,0.6117438318900584,0.6117728997445563,2.906785449790952e-05,3.629031033454636e-05,-7.222455836636835e-06,-3.6112279183184176e-06,6.494843251130948e-08,396,0,628
74,0.73758864402771,0.7272727489471436,0.013985972851514816,100,0.6024432320549679,0.6024819138632196,3.86818082517169e-05,3.825733551074368e-05,4.2447274097322024e-07,2.1223637048661012e-07,7.600809693133192e-08,374,0,650
75,0.7272727489471436,0.7164179682731628,0.01492532342672348,100,0.5950487748318979,0.5950794806380455,3.070580614759574e-05,4.409529206897817e-05,-1.3389485921382433e-05,-6.694742960691217e-06,7.913726292710771e-08,400,0,624
76,0.7164179682731628,0.7049808502197266,0.015964308753609657,100,0.5822199988177078,0.5822476535613388,2.7654743631013974e-05,4.855482874741172e-05,-2.090008511639775e-05,-1.0450042558198874e-05,9.036098545041596e-08,407,0,617
77,0.7049808502197266,0.6929134130477905,0.017117397859692574,100,0.575787868362451,0.575810115073882,2.2246711431017576e-05,5.5549230224209495e-05,-3.330251879319192e-05,-1.665125939659596e-05,1.0607351734354761e-07,452,0,572
78,0.6929134130477905,0.6801619529724121,0.018402675166726112,100,0.5641507704284504,0.5641831536343881,3.238320593771055e-05,6.159388010580877e-05,-2.921067416809822e-05,-1.460533708404911e-05,1.1345057657178194e-07,426,0,598
79,0.6801619529724121,0.6666666865348816,0.019841253757476807,100,0.555290314875446,0.5553105102625643,2.0195387118186444e-05,6.948252907627774e-05,-4.9287141958091296e-05,-2.4643570979045648e-05,1.339210424703216e-07,461,0,563
80,0.6666666865348816,0.6523604989051819,0.02145928144454956,100,0.5488112814711261,0.548810156291688,-1.12517943811675e-06,8.176010111454603e-05,-8.288528055266278e-05,-4.144264027633139e-05,1.641927252298542e-07,503,0,521
81,0.6523604989051819,0.6371681094169617,0.023288333788514137,100,0.5375107649139247,0.5375282379347966,1.7473020872024216e-05,8.934883449922914e-05,-7.187581362720493e-05,-3.5937906813602464e-05,1.6996971774846405e-07,476,0,548
82,0.6371681094169617,0.621004581451416,0.02536776103079319,100,0.5307944695307272,0.5307884131302665,-6.056400460600713e-06,0.0001057859522885418,-0.00011184235274914251,-5.5921176374571254e-05,2.1133272630370664e-07,533,0,491
83,0.621004581451416,0.6037735939025879,0.027746956795454025,100,0.519079383013796,0.5190448408209132,-3.4542192882728326e-05,0.00012427272762049202,-0.00015881492050322035,-7.940746025161017e-05,2.3544401257447952e-07,563,0,461
84,0.6037735939025879,0.5853658318519592,0.03048785589635372,100,0.5126682576614402,0.5126351176553894,-3.3140006050729875e-05,0.000138073666857289,-0.00017121367290801889,-8.560683645400944e-05,2.980254068709065e-07,572,0,452
85,0.5853658318519592,0.5656565427780151,0.03367003798484802,100,0.5119056700513269,0.511839455361538,-6.621468978900319e-05,0.00016780317849513852,-0.0002340178682841417,-0.00011700893414207085,3.2664414615463595e-07,595,0,429
86,0.5656565427780151,0.5445026159286499,0.037397123873233795,100,0.4999860487545657,0.49988283785697524,-0.00010321089759049852,0.00019776827630707753,-0.0003009791738975761,-0.00015048958694878804,4.044667141960396e-07,657,0,367
87,0.5445026159286499,0.52173912525177,0.04180602729320526,100,0.5040602230597802,0.503921712286072,-0.00013851077370817533,0.00024235433337051898,-0.0003808651070786943,-0.00019043255353934715,5.117478370830172e-07,685,0,339
88,0.52173912525177,0.4971751570701599,0.04708093777298927,100,0.49860110762648013,0.49845995834613904,-0.0001411492803411332,0.00029000416057132437,-0.00043115344091245757,-0.00021557672045622878,5.921179774329396e-07,647,0,377
89,0.4971751570701599,0.47058823704719543,0.053475961089134216,100,0.5010786692097436,0.5008381905588889,-0.0002404786508547475,0.0003553301516030824,-0.00059580880245783,-0.000297904401228915,7.813752656704791e-07,735,0,289
90,0.47058823704719543,0.4417177736759186,0.06134973466396332,100,0.5133714811014474,0.5130274181094916,-0.0003440629919558583,0.00045643901070089,-0.0008005020026567483,-0.00040025100132837417,1.0559054312996352e-06,774,0,250
91,0.4417177736759186,0.41025641560554504,0.07122502475976944,100,0.5163876001555225,0.5161129359924637,-0.0002746641630589193,0.000553701942630838,-0.0008283661056897574,-0.0004141830528448787,1.3546822297423248e-06,680,0,344
92,0.41025641560554504,0.3758389353752136,0.08389260619878769,100,0.534944818402286,0.5345784068552639,-0.0003664115470220261,0.0007314384092581874,-0.0010978499562802136,-0.0005489249781401068,1.938078181370634e-06,709,0,315
93,0.3758389353752136,0.3380281627178192,0.10060366243124008,100,0.5460804690344027,0.545632937899022,-0.00044753113538062244,0.0009764801890522693,-0.0014240113244328918,-0.0007120056622164459,2.5743593457797862e-06,716,0,308
94,0.3380281627178192,0.29629629850387573,0.12345676869153976,100,0.5779186271008712,0.5773793691133549,-0.0005392579875163684,0.0012636102290397048,-0.0018028682165560732,-0.0009014341082780366,4.051411331309936e-06,707,0,317
95,0.29629629850387573,0.25,0.15625,100,0.6352484680180503,0.6345153636719612,-0.000733104346089044,0.0017978862633754034,-0.002530990609464447,-0.0012654953047322236,6.387230742872033e-06,630,0,394
96,0.25,0.1983470916748047,0.20661163330078125,100,0.6704293943421124,0.6693752561781616,-0.0010541381639507786,0.0026089467868371384,-0.0036630849507879168,-0.0018315424753939584,1.1330989638694766e-05,610,0,414
97,0.1983470916748047,0.14035087823867798,0.2923975884914398,100,0.7698247084575882,0.7678438881505862,-0.0019808203070020235,0.0041615599122438425,-0.006142380219245866,-0.003071190109622933,2.410866949097539e-05,591,0,433
98,0.14035087823867798,0.07476635277271271,0.4672897458076477,100,0.8600403726637024,0.8567305680605375,-0.003309804603164819,0.0077709231672069105,-0.01108072777037173,-0.005540363885185865,6.564178170011283e-05,603,0,421
99,0.07476635277271271,0.0,1.0,100,0.9835033253772898,0.9962051901012912,0.012701864724001356,0.010733577143400907,0.0019682875806004488,0.0009841437903002244,5.655636784738156e-05,457,0,567
