phase,region,gamma,fid,sfid,inception_score,total_nfe,noise_sha256,label_sha256,condition
02_half_refine,high_noise,3.75,55.61321790658468,211.3615009271366,44.111122131347656,11884,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g3p75
02_half_refine,high_noise,4.25,55.73316479027454,211.33671279624923,44.481178283691406,12826,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g4p25
02_half_refine,high_noise,4.75,55.69614631423548,212.35331863611646,45.26395797729492,13438,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g4p75
02_half_refine,high_noise,5.25,55.97458606909737,213.32972523103274,46.44419479370117,13960,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,high_noise_v180_g5p25
02_half_refine,low_noise,2.25,68.65734769506594,224.47563894397956,35.94851303100586,11740,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g2p25
02_half_refine,low_noise,2.75,67.65117712156956,225.83792054599064,36.0068244934082,12934,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g2p75
02_half_refine,low_noise,3.25,67.63988308005037,227.08293945105208,35.76527786254883,13594,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g3p25
02_half_refine,low_noise,3.75,67.62901000337615,228.6344607533979,35.142242431640625,14452,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g3p75
02_half_refine,low_noise,4.25,68.35717302675306,229.94009921319548,34.148155212402344,15268,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g4p25
02_half_refine,low_noise,4.75,69.63469714801448,231.49153770209512,33.67655944824219,15844,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g4p75
02_half_refine,low_noise,5.25,70.97328221100065,233.09430509056165,33.031734466552734,16426,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,low_noise_v180_g5p25
