condition,mode,extrapolation_space,gamma,alpha,source_step,weights,num_samples,global_seed,fid,sfid,inception_score,sampling_peak_memory_mib,fid_peak_memory_mib,total_nfe,noise_fingerprint,label_fingerprint,sample_sha256
hidden_alpha_0p0125,interpolation,hidden,0.0,0.0125,0,ema,1000,0,100.91507114355312,216.42129527079612,22.02924156188965,2114,6450,6676,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,90231865e48bec08200055e83a5cdd4b43503228bdcf11eb4986099fb5d9ccbf
hidden_alpha_0p015,interpolation,hidden,0.0,0.015,0,ema,1000,0,100.89344968327907,216.00582892391435,22.134286880493164,2114,6450,6658,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,6c2b842d70115079b9af7ddb370e5104beeda9af5370c6a2c544398b332c7283
hidden_alpha_0p0175,interpolation,hidden,0.0,0.0175,0,ema,1000,0,100.87465510663384,215.56268101547528,22.2633056640625,2114,6450,6640,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,9ba580d6ff7f06af618fd1e65267b66e93532d5303fc74c4d2641aa3987e45d7
hidden_alpha_0p02,interpolation,hidden,0.0,0.02,0,ema,1000,0,100.91619877220785,215.15317252677903,22.359844207763672,2114,6450,6652,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,947a5126479614825cd82c82ea4b78169707a69f496188a031a665388c720866
hidden_alpha_0p0225,interpolation,hidden,0.0,0.0225,0,ema,1000,0,100.95683599146236,214.70041020463793,22.42045783996582,2114,6450,6718,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,7063645076cd1ea07dae096c50f0019c831fa0ef5ab4b9ef33e4540f4b390cce
hidden_alpha_0p025,interpolation,hidden,0.0,0.025,0,ema,1000,0,100.91675904038391,214.259472628416,22.42985725402832,2114,6450,6730,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,f57f827d8a7d57c4a0faa3ce64cd4cb754ec2f503f9f54f00df782c730473b03
hidden_alpha_0p03,interpolation,hidden,0.0,0.03,0,ema,1000,0,100.908700293675,213.46220642855667,22.504749298095703,2114,6450,6706,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,c9feeaac13ec5311f5be6c907ae9a7b55eb416a53836eb20f7dc6978327f4e71
hidden_alpha_0p05,interpolation,hidden,0.0,0.05,0,ema,1000,0,101.12570928779189,210.43178488036438,22.593589782714844,2114,6450,6634,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8485c520687a6f4c12878004bde5f0ec62605a49ce120c5dcba95e47f541fd75
hidden_alpha_0p1,interpolation,hidden,0.0,0.1,0,ema,1000,0,104.29497085853382,205.18561261274783,21.115388870239258,2114,6450,6976,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,35617745794f1614d4645284a02955b58cc0fee42bc71250efa336aac3d1852c
hidden_alpha_0p2,interpolation,hidden,0.0,0.2,0,ema,1000,0,124.78463094051392,212.38004453941937,16.24674415588379,2114,6450,8962,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,c1d9cd36949ba3f8eae1589f3cedaa985b232043ea771e4109183e60ae32de14
