sigma,delta,score_second,variance,third,velocity_gap,leading_velocity_gap
0.035380681966874904,-1.1745297354559768e-06,-2.2447478686235636,0.0012496243958268604,-4.403163034769858e-09,3.437145161942724e-05,3.431191600180305e-05
0.03685204924890583,-1.382939348730222e-06,-2.2452322576650783,0.001355522534445707,-5.623816355571358e-09,3.8909735739063453e-05,3.88366478800362e-05
0.038384605902036434,-1.6283783557155405e-06,-2.245756655225211,0.0014703767787840672,-7.182989168273971e-09,4.405107144969751e-05,4.396134182000828e-05
0.039980896592837274,-1.9174393561150433e-06,-2.2463242610044167,0.0015949413973467752,-9.174610224959092e-09,4.987632771327509e-05,4.9766161235024495e-05
0.04164357181227025,-2.257892295539685e-06,-2.2469385116603555,0.0017300336286009224,-1.1718688814638672e-08,5.64773599655631e-05,5.634209457361667e-05
0.04337539227658031,-2.65889569420681e-06,-2.24760309483591,0.001876538842276919,-1.4968563162023463e-08,6.395853022552213e-05,6.379243839764111e-05
0.045179233511205744,-3.131246028103398e-06,-2.2483219633151688,0.002035416107308651,-1.912016583534461e-08,7.24384428252062e-05,7.22344875890361e-05
0.04705809062531847,-3.687672221519358e-06,-2.2490993491342657,0.0022077041956728148,-2.442386835729151e-08,8.205192739032758e-05,8.180146232377089e-05
0.04901508328492197,-4.343183493191459e-06,-2.249939777428005,0.0023945280530278767,-3.1199624223610194e-08,9.295230546376474e-05,9.264470581341684e-05
0.05105346089276389,-5.115480326023718e-06,-2.250848079738013,0.002597105768707172,-3.9856330527135327e-08,0.00010531398276973885,0.00010493619183647523
0.053176607983664734,-6.025440144470319e-06,-2.2518294064422677,0.0028167560792738324,-5.0916585690471317e-08,0.00011933541558181425,0.00011887138686457451
0.05538804984422023,-7.097691439802568e-06,-2.252889237887562,0.0030549064414800314,-6.504835025483362e-08,0.00013524250714941753,0.0001346725182496896
0.05769145836620928,-8.361292649400163e-06,-2.254033393713314,0.0033131017120706556,-8.310543956010254e-08,0.00015329249886583885,0.0001525923076118676
0.060090658143425665,-9.850535147089164e-06,-2.2552680397449567,0.0035930134734095,-1.06179317467183e-07,0.00017377843095375012,0.0001729182374064161
0.06258963282205735,-1.1605893335365661e-05,-2.2565996917050652,0.0038964500453618663,-1.3566535240242776e-07,0.0001970342592176401,0.00019597742883105051
0.06519253171515742,-1.3675149154464123e-05,-2.258035214837232,0.004225367225215685,-1.7334758366901168e-07,0.00022344072804338184,0.00022214222095742555
0.06790367669218905,-1.6114723474638337e-05,-2.259581818357619,0.004581879798639863,-2.215071820320798e-07,0.0002534321156931367,0.00025183655446491996
0.0707275693550844,-1.8991252974195904e-05,-2.261247043438556,0.0049682738657403774,-2.8306124433761643e-07,0.000287503986373123,0.000285543278873619
0.07366889851273249,-2.23834584151057e-05,-2.263038743182296,0.005387020027162274,-3.6174042749252766e-07,0.0003262221049402343,0.0003238125200046269
0.07673254796630649,-2.6384358935521096e-05,-2.264965052756689,0.005840787475887294,-4.623163180567796e-07,0.00037023269493899325,0.0003672712648570133
0.07992360461835736,-3.110389735156726e-05,-2.2670343475318253,0.006332459040892007,-5.908924980642684e-07,0.00042027424946583015,0.0004166343445300136
0.08324736691913849,-3.667205380816782e-05,-2.269255186672518,0.0068651472291765105,-7.552771950860932e-07,0.0004771911376584577,0.00047271702261237085
0.0867093536641855,-4.3242539817536615e-05,-2.2716362391985925,0.007442211312891514,-9.654604379446694e-07,0.0005419492881691571,0.0005364494270047056
0.09031531315775826,-5.099718219690179e-05,-2.27418618901743,0.008067275508459065,-1.2342250894414855e-06,0.0006156542753724796,0.0006088930978425678
0.09407123275736114,-6.015112717597735e-05,-2.2769136148543536,0.008744248294826019,-1.577929391357497e-06,0.0006995721851642972,0.0006912599634466064
0.09798334881518854,-7.09590195627407e-05,-2.2798268403496955,0.009477342918499543,-2.017509241961444e-06,0.0007951536957069514,0.0007849341004060145
0.10205815703300274,-8.37223410015985e-05,-2.282933748852164,0.010271099134068111,-2.5797619793369405e-06,0.0009040618751999777,0.0008914966832909876
0.10630242324763721,-9.87981257752895e-05,-2.286241556611856,0.011130406230897488,-3.2989907885662154e-06,0.0010282042743551198,0.0010127545842444606
0.1107231946650343,-0.00011660931312464863,-2.2897565371624635,0.01206052740013941,-4.219111033775961e-06,0.0011697699763210214,0.0011507731427633015
0.1153278115614695,-0.0001376570425840091,-2.293483688683005,0.01306712550181204,-5.396348163487405e-06,0.0013312723615622778,0.0013079136909563138
0.12012391947139178,-0.00016253525429722187,-2.297426335053557,0.014156290300439727,-6.902693025470833e-06,0.0015155984494748535,0.0014868764885908213
0.1251194818821164,-0.00019194802062790704,-2.3015856501829473,0.015334567250783306,-8.830326565061199e-06,0.0017260657914220216,0.0016907497937507985
0.13032279345644862,-0.00022673010945876054,-2.305960094016634,0.01660898793408843,-1.1297284612296325e-05,0.0019664880094037874,0.0019230658664018683
0.13574249380519315,-0.0002678713640434482,-2.3105447474722642,0.01798710227195437,-1.4454708083460126e-05,0.0022412501972618503,0.002187864769740031
0.14138758183241779,-0.0003165455793948459,-2.3153305324602127,0.019477012681751848,-1.849611851089417e-05,0.0025553955214642795,0.002489766892247149
0.14726743067728912,-0.00037414466058516873,-2.320303302214488,0.021087410387367788,-2.3669278380356764e-05,0.0029147244674335784,0.0028340551538579943
0.1533918032772913,-0.0004423189625838898,-2.325442786505863,0.02282761416533044,-3.029134638558716e-05,0.0033259082622304663,0.0032267678714073024
0.15977086857866782,-0.000523024831412279,-2.3307213760953003,0.02470761189300867,-3.8768226710866936e-05,0.003796618046903578,0.0036748032263868046
0.16641521842100293,-0.000618580487210281,-2.336102731224461,0.026738105377002244,-4.961924744832056e-05,0.004335671346324949,0.004186036181710542
0.17333588512397777,-0.0007317315028366804,-2.341540200304204,0.028930559080803917,-6.350859621403069e-05,0.004953197255951291,0.004769448507018133
0.18054435980550235,-0.000865727223911665,-2.3469750375976233,0.031297253546147576,-8.128530213407665e-05,0.005660821486863438,0.005435272259679765
0.1880526114616391,-0.001024409528767486,-2.3523344130270694,0.03385134451660534,-0.00010403399468380989,0.006471871921367418,0.00619514658762137
