mode,rank,batch_index,batch_size,nfe,elapsed_seconds,endpoint_mean,endpoint_std
epsilon,0,11,64,80,2.6760808709077537,0.07191430777311325,0.8873235583305359
epsilon,0,12,64,80,2.5037023797631264,0.06601723283529282,0.8130959272384644
epsilon,0,13,64,86,2.863590315915644,0.09006068110466003,0.8421377539634705
epsilon,0,14,64,86,2.855810736771673,0.0702507272362709,0.8213993906974792
epsilon,0,15,64,80,2.6854716828092933,0.050743646919727325,0.8310800194740295
epsilon,0,16,64,86,2.867995871696621,0.08315881341695786,0.8202559947967529
epsilon,0,17,64,86,2.6812963001430035,0.04131767526268959,0.8088736534118652
epsilon,0,18,64,80,2.6835055500268936,0.027970319613814354,0.8326711654663086
epsilon,0,19,64,86,2.8589752637781203,0.03162837773561478,0.8311281204223633
epsilon,1,0,64,86,2.1213567019440234,0.07765432447195053,0.8381124138832092
epsilon,1,1,64,86,2.1200853968039155,0.06727781146764755,0.813160240650177
epsilon,1,2,64,92,2.26681811735034,0.05366441234946251,0.8237694501876831
epsilon,1,3,64,80,1.9762544841505587,0.05559258908033371,0.8219701051712036
epsilon,1,4,64,80,1.9752839719876647,0.02227778360247612,0.8124335408210754
epsilon,1,5,64,86,2.1202057292684913,0.051462456583976746,0.8605220317840576
epsilon,1,6,64,86,2.121841278858483,0.05057546868920326,0.8029370903968811
epsilon,1,7,64,86,2.121024625841528,0.0735849142074585,0.8483321070671082
epsilon,1,8,64,80,1.9752176450565457,0.05441462621092796,0.835137128829956
epsilon,1,9,64,86,2.1210151007398963,0.06983587890863419,0.8481485843658447
epsilon,1,10,64,80,1.9750608899630606,0.03996863216161728,0.8154261708259583
epsilon,1,11,64,86,2.120789126958698,0.06678414344787598,0.8203560709953308
epsilon,1,12,64,80,1.9753123600967228,0.049406878650188446,0.8403999209403992
epsilon,1,13,64,80,1.9751929040066898,0.06008337810635567,0.8552759885787964
epsilon,1,14,64,80,1.9757852801121771,0.05793698877096176,0.8159270882606506
epsilon,1,15,64,86,2.120641636662185,0.04642463102936745,0.8173556327819824
epsilon,1,16,64,80,1.9756073029711843,0.06376594305038452,0.8387396335601807
epsilon,1,17,64,80,1.9752412550151348,0.03611164540052414,0.8351870775222778
epsilon,1,18,64,86,2.1207373761571944,0.05055157095193863,0.8034044504165649
epsilon,1,19,64,92,2.265692855697125,0.02625402808189392,0.8322645425796509
epsilon,2,0,64,86,2.657686833757907,0.022509723901748657,0.8065508008003235
epsilon,2,1,64,80,2.482746051158756,0.03574651479721069,0.8382889628410339
epsilon,2,2,64,80,2.483995239716023,0.04432516545057297,0.8476666808128357
epsilon,2,3,64,80,2.4196967692114413,0.04435908794403076,0.819402813911438
epsilon,2,4,64,86,2.6594690321944654,0.029631581157445908,0.8531211018562317
epsilon,2,5,64,80,2.4840938257984817,0.03363249450922012,0.8245178461074829
epsilon,2,6,64,86,2.646283882204443,0.03216193616390228,0.8224438428878784
epsilon,2,7,64,86,2.6581219281069934,0.03827039897441864,0.8338222503662109
epsilon,2,8,64,86,2.594039442948997,0.024682041257619858,0.8197043538093567
epsilon,2,9,64,86,2.6575114112347364,0.06376123428344727,0.8370377421379089
epsilon,2,10,64,80,2.4860336198471487,0.04991444945335388,0.8339013457298279
epsilon,2,11,64,86,2.652690790127963,0.032979317009449005,0.8409355282783508
epsilon,2,12,64,86,2.6360029908828437,0.04554150998592377,0.8356754779815674
epsilon,2,13,64,80,2.446120394859463,0.07973195612430573,0.8494548201560974
