family,condition,mode,gamma,nominal_scale,orthogonal_scale,response_scale,global_seed,num_samples,fid,sfid,inception_score,total_nfe,noise_fingerprint,label_fingerprint,result
v500,g1p75_r1p40_l0_n1000_seed0,factorized,1.75,1.0,0.0,1.4,0,1000,75.19989251455218,215.47994588030724,29.461122512817383,7984,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p40_l0_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p25_l0p625_n1000_seed0,factorized,1.5,1.0,0.625,1.25,0,1000,75.20609308314897,216.22770062312645,31.500011444091797,7822,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p25_l0p625_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p45_l0p25_n1000_seed0,factorized,1.75,1.0,0.25,1.45,0,1000,75.23127472807238,216.06410805084204,28.918407440185547,7954,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p45_l0p25_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p50_l0p625_n1000_seed0,factorized,1.5,1.0,0.625,1.5,0,1000,75.24253858840325,216.68212043467497,28.864639282226562,8002,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p50_l0p625_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p25_r1p25_l1p0_n1000_seed0,factorized,1.25,1.0,1.0,1.25,0,1000,75.26739571704474,216.63794858646247,31.903465270996094,7654,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p25_l1p0_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p25_r1p35_l0_n1000_seed0,factorized,1.25,1.0,0.0,1.35,0,1000,75.2809111341785,215.40176645325107,30.719316482543945,7570,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p35_l0_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p75_r1p25_l0p375_n1000_seed0,factorized,1.75,1.0,0.375,1.25,0,1000,75.28243028051912,215.99573196066035,31.354581832885742,7936,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p75_r1p25_l0p375_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p5_r1p40_l0_n1000_seed0,factorized,1.5,1.0,0.0,1.4,0,1000,75.28364589977878,215.5626674763895,29.746503829956055,7840,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p5_r1p40_l0_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p25_r1p50_l0_n1000_seed0,factorized,1.25,1.0,0.0,1.5,0,1000,75.28608542173885,215.69251116762337,28.991195678710938,7906,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p50_l0_n1000_seed0/nominal_intervention_fid5k.json
v500,g1p25_r1p30_l0p5_n1000_seed0,factorized,1.25,1.0,0.5,1.3,0,1000,75.29463494608007,215.95383181410625,31.042104721069336,7570,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/factorized_guidance_800k_v1/response_direction_dense_n1000_seed0/v500/g1p25_r1p30_l0p5_n1000_seed0/nominal_intervention_fid5k.json
