arm,idea_id,family,role,source,strength,theta,fid,full_calls_per_image,prefix_calls_per_image,sum_batch_gpu_seconds,complete
weak_heat_03,,weak_heat,control,ig,2.75,0.0,153.77811724403256,192.0,0.0,138.13183234352618,True
weak_plain_mix_00,,weak_plain_mix,control,ig,0.5,0.0,85.53031501753657,192.0,0.0,137.66337884636596,True
weak_plain_mix_01,,weak_plain_mix,control,ig,1.25,0.0,117.03338937942061,192.0,0.0,136.76846321020275,True
weak_plain_mix_02,,weak_plain_mix,control,ig,2.0,0.0,142.6756321055728,192.0,0.0,137.31499870494008,True
weak_plain_mix_03,,weak_plain_mix,control,ig,2.75,0.0,159.7593540835934,192.0,0.0,138.53989340737462,True
weak_random_label_00,,weak_random_label,control,cfg,0.5,0.0,73.66010644120831,224.0,0.0,157.05748917115852,True
weak_random_label_01,,weak_random_label,control,cfg,1.25,0.0,60.512492774720215,224.0,0.0,156.23807461373508,True
weak_random_label_02,,weak_random_label,control,cfg,2.0,0.0,54.11674361502844,224.0,0.0,165.09331750124693,True
weak_random_label_03,,weak_random_label,control,cfg,2.75,0.0,50.540090257238205,224.0,0.0,156.01602662540972,True
i62_conditional_refresh_00,62,i62_conditional_refresh,candidate,cfg,0.5,0.9,60.25423456531877,480.0,0.0,317.8509713583626,True
i62_conditional_refresh_01,62,i62_conditional_refresh,candidate,cfg,0.5,0.97,56.02842337672183,480.0,0.0,316.79009631695226,True
gaussian_refresh_00,,gaussian_refresh,control,cfg,0.5,0.9,62.80819576261689,224.0,0.0,164.43630667915568,True
roundtrip_control_00,,roundtrip_control,control,cfg,0.5,1.0,54.21768053121099,480.0,0.0,319.4793385723606,True
hard_pair_control_00,,hard_pair_control,control,cfg,0.5,0.0,60.96630342688633,224.0,0.0,157.56610207632184,True
i62_conditional_refresh_02,62,i62_conditional_refresh,candidate,cfg,1.25,0.9,46.17966595949906,480.0,0.0,315.50049084145576,True
i62_conditional_refresh_03,62,i62_conditional_refresh,candidate,cfg,1.25,0.97,45.47168547373553,480.0,0.0,315.7287479704246,True
gaussian_refresh_01,,gaussian_refresh,control,cfg,1.25,0.9,47.21870765470965,224.0,0.0,156.3591329762712,True
roundtrip_control_01,,roundtrip_control,control,cfg,1.25,1.0,45.70628354362424,480.0,0.0,318.6884385473095,True
hard_pair_control_01,,hard_pair_control,control,cfg,1.25,0.0,50.362007305373766,224.0,0.0,157.93688257364556,True
i62_conditional_refresh_04,62,i62_conditional_refresh,candidate,cfg,2.0,0.9,46.83760047450477,480.0,0.0,315.6730761784129,True
i62_conditional_refresh_05,62,i62_conditional_refresh,candidate,cfg,2.0,0.97,48.89629500292841,480.0,0.0,317.51964985765517,True
gaussian_refresh_02,,gaussian_refresh,control,cfg,2.0,0.9,48.326917294281316,224.0,0.0,160.7163724070415,True
roundtrip_control_02,,roundtrip_control,control,cfg,2.0,1.0,49.604833563612544,480.0,0.0,316.82344736438245,True
hard_pair_control_02,,hard_pair_control,control,cfg,2.0,0.0,49.95993891149857,224.0,0.0,159.68028485728428,True
i62_conditional_refresh_06,62,i62_conditional_refresh,candidate,cfg,2.75,0.9,51.844295176170704,480.0,0.0,315.5090269637294,True
i62_conditional_refresh_07,62,i62_conditional_refresh,candidate,cfg,2.75,0.97,53.79132609616482,480.0,0.0,317.38866835599765,True
gaussian_refresh_03,,gaussian_refresh,control,cfg,2.75,0.9,52.49094149206883,224.0,0.0,160.53577364515513,True
roundtrip_control_03,,roundtrip_control,control,cfg,2.75,1.0,54.65081516530125,480.0,0.0,317.5542118810117,True
hard_pair_control_03,,hard_pair_control,control,cfg,2.75,0.0,52.78217393170712,224.0,0.0,162.2833202430047,True
unguided_refresh_00,,unguided_refresh,control,cfg,0.0,0.9,86.58480288095416,384.0,0.0,257.87909097084776,True
unguided_refresh_01,,unguided_refresh,control,cfg,0.0,0.97,87.63882651345767,384.0,0.0,260.0914957653731,True
