context,time,sample_id,cosine,projection_coefficient,positive_coefficient,reference_rms,difference_rms,difference_over_reference_rms,parallel_energy_fraction,orthogonal_energy_fraction,predicted_residual_energy_fraction,dot,reference_energy,difference_energy
teacher,0.1,2150,0.600314081510842,0.6445828186810031,1.0,0.11546487688166572,0.12397956018577067,1.0737426266242958,0.36037698537474794,0.6396230049110693,0.6982418801411764,35.199659859344166,54.60843640134952,62.9593347844388
teacher,0.1,1409,0.4150217794452374,0.4507930839769397,1.0,0.11613132223935445,0.12614084246030793,1.086191391159081,0.1722430801650614,0.8277569213017278,0.8314689443570463,24.90209778338619,55.24063848472896,65.17355371149814
teacher,0.1,3452,0.6257948476904356,0.4250103214480574,1.0,0.25814341838117744,0.17531882474071928,0.6791527974648633,0.3916191952981336,0.6083808090057535,0.611918491382526,116.0062902012063,272.94934816161634,125.89748350348101
teacher,0.1,2228,0.6691868169909925,0.6803061593584429,1.0,0.15942704013502626,0.1620761118096024,1.0166162005663062,0.4478109655348132,0.5521890029300848,0.6367872731872495,70.82528281584248,104.10795469297777,107.59645601512955
teacher,0.1,1449,0.5884875829595112,0.6939287274322273,1.0,0.1180357290971318,0.13918455657465112,1.179173099868057,0.34631762680185596,0.6536823656829586,0.7224908769236114,39.600602071381516,57.06724697494112,79.34910787126174
teacher,0.1,663,0.4987442240470324,0.4869701149483087,1.0,0.10920092355372192,0.10662296169349263,0.976392490316613,0.24874581291296902,0.7512541978472751,0.7622434214517176,23.785642130707785,48.84415162362192,46.56519561335601
teacher,0.1,1948,0.6859902361130904,0.7830741137650339,1.0,0.14273673042725427,0.16293736090817193,1.141523701856215,0.4705826367754278,0.5294173933221598,0.6512593362934831,65.34830156162228,83.45097917670464,108.74299834253259
strong_rollout,0.1,4301,0.5842497884059025,0.6632947020604925,1.0,0.12095797790022007,0.13732274706007502,1.1352930120355886,0.34134778579595304,0.6586521859305485,0.718907244427624,39.74985166603073,59.92788958294068,77.2404709790734
strong_rollout,0.1,1667,0.609696660418301,0.5954491813168677,1.0,0.14640628363286062,0.142985040575786,0.9766318564191276,0.3717300520423677,0.6282699820371708,0.6748734973168599,52.27861624633579,87.79694033791235,83.74158060936875
strong_rollout,0.1,2696,0.5577726539925517,0.32196316373726697,1.0,0.3399657211042464,0.19623844651660918,0.5772300980204855,0.31111032927414484,0.6888896670928444,0.7006704747304712,152.41804700866425,473.4021284902102,157.73502624256855
strong_rollout,0.1,2351,0.5384858776391194,0.5734742457894564,1.0,0.11647706401890913,0.12404521495135598,1.0649754610162412,0.28996702262436175,0.7100329598704379,0.7414811372581658,31.86799181737478,55.57004878833686,63.02603408313593
strong_rollout,0.1,3628,0.47773433034438045,0.49803928592638247,1.0,0.14276369149356258,0.14883152089240395,1.0425026092794398,0.22823008135771872,0.7717699087639674,0.783607268108998,41.577568527196206,83.48250770992789,90.72976531925431
strong_rollout,0.1,4954,0.6611465096376364,0.7138110754904669,1.0,0.1329380746695669,0.14352744614128665,1.0796564227219394,0.43711473592897837,0.5628852915896869,0.6558540711124551,51.67042091896349,72.38668983030308,84.37812345176039
strong_rollout,0.1,4513,0.5472225007625172,0.5886046466480586,1.0,0.11112255617539468,0.1195258835685789,1.0756221570346214,0.29945244632429874,0.7005475342997951,0.7365137818417343,29.77063377313562,50.57831932294654,58.51724530831147
strong_rollout,0.1,3775,0.5782462100314281,0.5335089714224636,1.0,0.16086294891720648,0.14841744732254905,0.9226328891865402,0.33436866049148717,0.6656313204764405,0.6916745034875093,56.54754131504153,105.99173461745573,90.22561759126168
strong_rollout,0.1,1152,0.4572229440400919,0.493848196562858,1.0,0.14012095763948387,0.15134516570728357,1.080103706518181,0.20905282749327442,0.7909471794861913,0.8011748156364202,39.71546151893108,80.42038382512553,93.82035121342514
strong_rollout,0.1,2150,0.6578653289354481,0.6309971641595371,1.0,0.12223588914399079,0.11724359989177366,0.959158563927683,0.43278681349149883,0.5672132088335735,0.6331968586619813,38.61755975804154,61.20084518839094,56.30386878702513
strong_rollout,0.1,1409,0.5246905109191083,0.4392094027339926,1.0,0.14305606616861094,0.11974977262182065,0.83708280137299,0.2753001309086564,0.7246998661231804,0.7289534338538405,36.816638552537924,83.82479592504521,58.736672944036854
strong_rollout,0.1,3452,0.6378947339793856,0.6547807743155675,1.0,0.1331764253783963,0.13670180718667563,1.0264715154973008,0.4069096565250784,0.5930903095690037,0.6623635644774338,47.56752712958382,72.64649329282071,76.54352522487004
strong_rollout,0.1,2228,0.6059557739492992,0.6517212074785894,1.0,0.12514489275248702,0.13459658958749945,1.075526029285958,0.3671823682411663,0.6328175989097304,0.6944948244313494,41.8069093127397,64.14845616960095,74.20412693948731
strong_rollout,0.1,1449,0.570881335371721,0.6819031478678341,1.0,0.11463566357646544,0.13692936694069752,1.1944744128371665,0.3259054763338404,0.6740945013327454,0.7360386565024533,36.70473912990525,53.82690964937345,76.79857267007563
strong_rollout,0.1,663,0.4162615429416552,0.41406304938041766,1.0,0.11205661894595612,0.11146478969959872,0.9947184802475361,0.1732736612585485,0.8267263269389283,0.8276027264737951,21.296167456755672,51.43218523995837,50.89033970800955
strong_rollout,0.1,1948,0.5112576304100023,0.5113981729891238,1.0,0.14357060587738066,0.143610072835008,1.0002748958074403,0.26138438840054085,0.7386156344747021,0.7546806745658124,43.176773598591794,84.42887729970451,84.47530196859417
teacher,0.2,4301,0.6212050000386896,0.6645570675604472,1.0,0.14139339770285514,0.1512608265290287,1.0697870550286261,0.385895618527651,0.6141043481226961,0.6825806699196122,54.41899168274746,81.887612575571,93.71581498263515
teacher,0.2,1667,0.5389674602675815,0.488990560042903,1.0,0.13884428175789135,0.1259696514179887,0.9072728802591042,0.29048590511138966,0.709514074780624,0.7227489107553311,38.61147741019961,78.9616008268379,64.99677420900179
teacher,0.2,2696,0.5211648867413975,0.5526877555515823,1.0,0.15532551281352738,0.1647204392328989,1.0604854041631293,0.27161284710035394,0.7283871596562561,0.7535050574033788,54.61669086207865,98.82015715649644,111.13604342202015
teacher,0.2,2351,0.6051932985476721,0.37974294627513216,1.0,0.2946997642486925,0.18491638458480053,0.6274738123942051,0.3662589350040914,0.6337410733489154,0.6338013668248134,135.0856573297262,355.72920749357024,140.05890780329514
teacher,0.2,3628,0.39162366903936724,0.30446990890086406,1.0,0.1729990959002025,0.13449906921578747,0.7774553301329133,0.15336910276867086,0.8466309012263521,0.8572578156886702,37.32432756700578,122.58790269864943,74.09663844316442
teacher,0.2,4954,0.518481714463063,0.3467339551062055,1.0,0.25325825790201967,0.1693661222298141,0.6687486664120477,0.26882329139101074,0.7311767125683372,0.7343853969665372,91.09269516764286,262.7163963210379,117.4932822391371
teacher,0.2,4513,0.6002520474857589,0.6173694755696965,1.0,0.13705200171737186,0.14096032288509344,1.0285170673813382,0.36030251779344985,0.6396974785648147,0.6909094648270627,47.49805947798403,76.9361968117289,81.3867525237547
teacher,0.2,3775,0.5541750991492392,0.3985472232846697,1.0,0.2253780499524401,0.16208558655153335,0.7191720160225767,0.30711005371667077,0.6928899590936537,0.6932652353419322,82.92070187549967,208.05740707989335,107.60903625832287
teacher,0.2,1152,0.5629332317068945,0.4318279992523179,1.0,0.2342721441273843,0.17971095963251518,0.767103405750187,0.3168938134395114,0.6831061780564949,0.6868941603316275,97.07603973643606,224.80256005751573,132.28453483331378
