query,time,gamma_mean,gamma_median,horizon_mean,horizon_median,query_shift_rms_mean,query_shift_rms_median,query_shift_projected_cosine_mean,query_shift_projected_cosine_median,weak_revision_rms_mean,weak_revision_rms_median,gap_rms_mean,gap_rms_median,persistent_gap_rms_mean,persistent_gap_rms_median,weak_revision_gap_cosine_mean,weak_revision_gap_cosine_median,persistent_revision_cosine_mean,persistent_revision_cosine_median,projection_identity_ratio_mean,projection_identity_ratio_median,gap_distance_change_fraction_mean,gap_distance_change_fraction_median,weak_revision_projected_cosine_mean,weak_revision_projected_cosine_median,correction_projected_cosine_mean,correction_projected_cosine_median,temporal_response_rms_mean,temporal_response_rms_median,positive_spatial_response_rms_mean,positive_spatial_response_rms_median,spatial_odd_rms_mean,spatial_odd_rms_median,spatial_even_rms_mean,spatial_even_rms_median,odd_fraction_of_positive_spatial_mean,odd_fraction_of_positive_spatial_median,even_fraction_of_positive_spatial_mean,even_fraction_of_positive_spatial_median,temporal_spatial_cosine_mean,temporal_spatial_cosine_median,spatial_temporal_coefficient_mean,spatial_temporal_coefficient_median,spatial_parallel_rms_mean,spatial_parallel_rms_median,spatial_orthogonal_rms_mean,spatial_orthogonal_rms_median,spatial_parallel_energy_fraction_mean,spatial_parallel_energy_fraction_median,naive_cycle_error_rms_mean,naive_cycle_error_rms_median,compensated_cycle_error_rms_mean,compensated_cycle_error_rms_median,cycle_error_ratio_mean,cycle_error_ratio_median
state_only,0.15,0.6,0.6,0.03125,0.03125,0.002508565363314119,0.0013702925643883646,0.8828124920837581,1.0,0.005961588191098599,0.0026846537366509438,0.1711104440037161,0.15309840440750122,0.1700379520189017,0.15269295126199722,0.11613485413181479,0.09832156449556351,0.09005429583339719,0.06896168738603592,5.214079344412312,3.6274367570877075,-0.00857566926784159,-0.0029919196385890245,-0.3997942329151556,-0.38505469262599945,-0.3997942353016697,-0.38505469262599945,0.05088054478983395,0.04557288438081741,0.005804907729952902,0.0024783139815554023,0.0058256258374740355,0.0024641904747113585,0.00033120610828518693,0.00027578296430874616,0.854574668686837,0.9922880828380585,0.1423701204621466,0.07258426770567894,-0.4741967809968628,-0.4659177362918854,-0.05814471464691451,-0.027989575639367104,0.003627616960393709,0.0012429068447090685,0.004242766696165745,0.001979961700271815,0.29295682757219765,0.21708454936742783,0.0765287151443772,0.06995780766010284,0.0024494158925904355,0.001276063674595207,0.026105341318087172,0.018344835378229618
time_only,0.15,0.6,0.6,0.03125,0.03125,0.0,0.0,0.0,0.0,0.05088054478983395,0.04557288438081741,0.1711104440037161,0.15309840440750122,0.18196357012493536,0.1643492355942726,-0.06345473847613903,-0.06610611081123352,-0.34514435910386965,-0.36348778009414673,-0.19614411665679654,-0.1848454624414444,0.1467532047236091,0.14242973923683167,0.9878253787755966,0.9990487992763519,0.9878253731876612,0.9990487396717072,0.05088054478983395,0.04557288438081741,0.005804907729952902,0.0024783139815554023,0.0058256258374740355,0.0024641904747113585,0.00033120610828518693,0.00027578296430874616,0.854574668686837,0.9922880828380585,0.1423701204621466,0.07258426770567894,-0.4741967809968628,-0.4659177362918854,-0.05814471464691451,-0.027989575639367104,0.003627616960393709,0.0012429068447090685,0.004242766696165745,0.001979961700271815,0.29295682757219765,0.21708454936742783,0.0765287151443772,0.06995780766010284,0.0024494158925904355,0.001276063674595207,0.026105341318087172,0.018344835378229618
anti_projected,0.24,0.6,0.6,0.03125,0.03125,0.005257074562905473,0.004112383117899299,-0.968749993480742,-1.0,0.05739604591508396,0.0527841430157423,0.22957524470984936,0.21117646247148514,0.23868368135299534,0.21973730623722076,-0.03798375633050455,-0.0448047760874033,-0.28338484722189605,-0.2940380275249481,-0.12303759174756124,-0.1651000902056694,0.09547983174888941,0.09053866565227509,0.9207261349074543,0.9694792032241821,0.9207261339761317,0.9694792926311493,0.05051860914682038,0.047573795542120934,0.010311694889878709,0.008182420395314693,0.010349964417855517,0.008192858193069696,0.00043640018907353806,0.00030309168505482376,0.9671201030723751,0.999833881855011,0.061143274419009686,0.04349319078028202,-0.5662786769680679,-0.6016034483909607,-0.10919674275282887,-0.0909549742937088,0.005952185463911519,0.004506041761487722,0.008062799752678984,0.00651987106539309,0.3576608231933278,0.36196497082710266,0.07329442561604083,0.06988968327641487,0.0019906450964462426,0.0015520666493102908,0.025398658373571747,0.023509093560278416
donor_projected,0.24,0.6,0.6,0.03125,0.03125,0.005045419885846059,0.004089469090104103,0.012562429641548079,0.005287592299282551,0.051066018029814586,0.047680556774139404,0.22957524470984936,0.21117646247148514,0.2357165701687336,0.21809153258800507,-0.011265813845966477,-0.012892354279756546,-0.23614227625512285,-0.2568938881158829,0.021251783558909665,-0.04219799116253853,0.07173360382512328,0.06829331442713737,0.958396874833852,0.9824800193309784,0.9583968701772392,0.9824800491333008,0.05051860914682038,0.047573795542120934,0.010311694889878709,0.008182420395314693,0.010349964417855517,0.008192858193069696,0.00043640018907353806,0.00030309168505482376,0.9671201030723751,0.999833881855011,0.061143274419009686,0.04349319078028202,-0.5662786769680679,-0.6016034483909607,-0.10919674275282887,-0.0909549742937088,0.005952185463911519,0.004506041761487722,0.008062799752678984,0.00651987106539309,0.3576608231933278,0.36196497082710266,0.07329442561604083,0.06988968327641487,0.0019906450964462426,0.0015520666493102908,0.025398658373571747,0.023509093560278416
orthogonal_projected,0.24,0.6,0.6,0.03125,0.03125,0.00525707459428304,0.004112383117899299,1.2460077414289117e-10,0.0,0.05130854938761331,0.04818671941757202,0.22957524470984936,0.21117646247148514,0.23582642688415945,0.21720479428768158,-0.011760399440390756,-0.01762856636196375,-0.23721459762600716,-0.25411999970674515,0.02302906489057932,-0.05426418222486973,0.07256223063984635,0.0662764348089695,0.9604164031334221,0.9832110106945038,0.9604163924232125,0.9832110702991486,0.05051860914682038,0.047573795542120934,0.010311694889878709,0.008182420395314693,0.010349964417855517,0.008192858193069696,0.00043640018907353806,0.00030309168505482376,0.9671201030723751,0.999833881855011,0.061143274419009686,0.04349319078028202,-0.5662786769680679,-0.6016034483909607,-0.10919674275282887,-0.0909549742937088,0.005952185463911519,0.004506041761487722,0.008062799752678984,0.00651987106539309,0.3576608231933278,0.36196497082710266,0.07329442561604083,0.06988968327641487,0.0019906450964462426,0.0015520666493102908,0.025398658373571747,0.023509093560278416
projected,0.24,0.6,0.6,0.03125,0.03125,0.005257074562905473,0.004112383117899299,0.968749993480742,1.0,0.04580901490407996,0.04368105158209801,0.22957524470984936,0.21117646247148514,0.23312115285079926,0.21591565012931824,0.022900339805346448,0.015663362108170986,-0.1833028933760943,-0.21953721344470978,0.25474886664414953,0.06460732407867908,0.050980147440441215,0.04758946970105171,0.9999999953433871,1.0,0.9999999841675162,1.0,0.05051860914682038,0.047573795542120934,0.010311694889878709,0.008182420395314693,0.010349964417855517,0.008192858193069696,0.00043640018907353806,0.00030309168505482376,0.9671201030723751,0.999833881855011,0.061143274419009686,0.04349319078028202,-0.5662786769680679,-0.6016034483909607,-0.10919674275282887,-0.0909549742937088,0.005952185463911519,0.004506041761487722,0.008062799752678984,0.00651987106539309,0.3576608231933278,0.36196497082710266,0.07329442561604083,0.06988968327641487,0.0019906450964462426,0.0015520666493102908,0.025398658373571747,0.023509093560278416
state_only,0.24,0.6,0.6,0.03125,0.03125,0.005257074562905473,0.004112383117899299,0.968749993480742,1.0,0.010301225044713647,0.008219711482524872,0.22957524470984936,0.21117646247148514,0.22866206197068095,0.21059980243444443,0.09839511575410143,0.08577507734298706,0.059390336744399974,0.04566500335931778,3.12693718157243,2.1052404642105103,-0.006970364153005448,-0.0043241181410849094,-0.40661779542278964,-0.47173047065734863,-0.406617795364582,-0.47173047065734863,0.05051860914682038,0.047573795542120934,0.010311694889878709,0.008182420395314693,0.010349964417855517,0.008192858193069696,0.00043640018907353806,0.00030309168505482376,0.9671201030723751,0.999833881855011,0.061143274419009686,0.04349319078028202,-0.5662786769680679,-0.6016034483909607,-0.10919674275282887,-0.0909549742937088,0.005952185463911519,0.004506041761487722,0.008062799752678984,0.00651987106539309,0.3576608231933278,0.36196497082710266,0.07329442561604083,0.06988968327641487,0.0019906450964462426,0.0015520666493102908,0.025398658373571747,0.023509093560278416
time_only,0.24,0.6,0.6,0.03125,0.03125,0.0,0.0,0.0,0.0,0.05051860914682038,0.047573795542120934,0.22957524470984936,0.21117646247148514,0.23563728481531143,0.21740152686834335,-0.010451492533320561,-0.011110290419310331,-0.23369186950003495,-0.2574774771928787,0.03736283793114126,-0.045379554852843285,0.07116710654008784,0.06509716808795929,0.9726766999810934,0.9910348951816559,0.972676694393158,0.9910349249839783,0.05051860914682038,0.047573795542120934,0.010311694889878709,0.008182420395314693,0.010349964417855517,0.008192858193069696,0.00043640018907353806,0.00030309168505482376,0.9671201030723751,0.999833881855011,0.061143274419009686,0.04349319078028202,-0.5662786769680679,-0.6016034483909607,-0.10919674275282887,-0.0909549742937088,0.005952185463911519,0.004506041761487722,0.008062799752678984,0.00651987106539309,0.3576608231933278,0.36196497082710266,0.07329442561604083,0.06988968327641487,0.0019906450964462426,0.0015520666493102908,0.025398658373571747,0.023509093560278416
anti_projected,0.3,0.7,0.7,0.03125,0.03125,0.007274505358964234,0.006542483577504754,-0.9765624813735485,-1.0,0.06152824917808175,0.05806353501975536,0.26805322256404907,0.25119349360466003,0.2748195421881974,0.25772686302661896,0.0006415519455913454,0.004737101495265961,-0.22837965379585512,-0.23846574872732162,0.03570387540094089,0.020081631373614073,0.06200526186785282,0.05889389477670193,0.8864035324659199,0.9322580099105835,0.8864035333972424,0.9322579801082611,0.05258863131166436,0.050642652437090874,0.013542203847464407,0.012541662435978651,0.013616528995953558,0.012584707699716091,0.0005716346850022092,0.00040431797970086336,0.9791794400662184,1.0019506812095642,0.046448955705272965,0.03769218549132347,-0.5591426879982464,-0.584206223487854,-0.138615978663438,-0.13970720767974854,0.007596748688229127,0.007059239549562335,0.010879382329221698,0.009660147596150637,0.3402641853199384,0.3412977159023285,0.07967528441804461,0.07741864770650864,0.002179567783283015,0.0018641664064489305,0.026513396284495394,0.024630648083984852
donor_projected,0.3,0.7,0.7,0.03125,0.03125,0.0070998756200424396,0.006531666265800595,0.011843760063129594,0.0010989952133968472,0.05357282908516936,0.051441825926303864,0.26805322256404907,0.25119349360466003,0.2718571063596755,0.25444337725639343,0.027178247706615366,0.03133038803935051,-0.17713921013637446,-0.18759695440530777,0.19982382499074447,0.13543063402175903,0.04038896340311737,0.03310123831033707,0.9394637625664473,0.9592318832874298,0.9394637639634311,0.9592318534851074,0.05258863131166436,0.050642652437090874,0.013542203847464407,0.012541662435978651,0.013616528995953558,0.012584707699716091,0.0005716346850022092,0.00040431797970086336,0.9791794400662184,1.0019506812095642,0.046448955705272965,0.03769218549132347,-0.5591426879982464,-0.584206223487854,-0.138615978663438,-0.13970720767974854,0.007596748688229127,0.007059239549562335,0.010879382329221698,0.009660147596150637,0.3402641853199384,0.3412977159023285,0.07967528441804461,0.07741864770650864,0.002179567783283015,0.0018641664064489305,0.026513396284495394,0.024630648083984852
orthogonal_projected,0.3,0.7,0.7,0.03125,0.03125,0.007274505372606654,0.006542483810335398,1.2278178473934531e-11,0.0,0.05380430945660919,0.051802583038806915,0.26805322256404907,0.25119349360466003,0.2719221352599561,0.255376398563385,0.02695662456972059,0.030764464288949966,-0.17796948790055467,-0.1823602095246315,0.2003269760607509,0.14944738149642944,0.040723618265474215,0.03073848132044077,0.9414182701148093,0.9602734744548798,0.9414182682521641,0.960273414850235,0.05258863131166436,0.050642652437090874,0.013542203847464407,0.012541662435978651,0.013616528995953558,0.012584707699716091,0.0005716346850022092,0.00040431797970086336,0.9791794400662184,1.0019506812095642,0.046448955705272965,0.03769218549132347,-0.5591426879982464,-0.584206223487854,-0.138615978663438,-0.13970720767974854,0.007596748688229127,0.007059239549562335,0.010879382329221698,0.009660147596150637,0.3402641853199384,0.3412977159023285,0.07967528441804461,0.07741864770650864,0.002179567783283015,0.0018641664064489305,0.026513396284495394,0.024630648083984852
projected,0.3,0.7,0.7,0.03125,0.03125,0.007274505358964234,0.006542483577504754,0.9765624813735485,1.0,0.0468678128963802,0.045540377497673035,0.26805322256404907,0.25119349360466003,0.26936941547319293,0.25353413820266724,0.0595004910537682,0.0523916631937027,-0.12230324409756577,-0.1325029507279396,0.44620917722932063,0.27162496745586395,0.02208059058375511,0.016346082091331482,0.9999999958090484,1.0,0.9999999832361937,1.0,0.05258863131166436,0.050642652437090874,0.013542203847464407,0.012541662435978651,0.013616528995953558,0.012584707699716091,0.0005716346850022092,0.00040431797970086336,0.9791794400662184,1.0019506812095642,0.046448955705272965,0.03769218549132347,-0.5591426879982464,-0.584206223487854,-0.138615978663438,-0.13970720767974854,0.007596748688229127,0.007059239549562335,0.010879382329221698,0.009660147596150637,0.3402641853199384,0.3412977159023285,0.07967528441804461,0.07741864770650864,0.002179567783283015,0.0018641664064489305,0.026513396284495394,0.024630648083984852
state_only,0.3,0.7,0.7,0.03125,0.03125,0.007274505358964234,0.006542483577504754,0.9765624813735485,1.0,0.013313991447830631,0.012336980551481247,0.26805322256404907,0.25119349360466003,0.2676078169606626,0.25108397006988525,0.06444029018894071,0.060863880440592766,0.019002954966708785,0.014174267183989286,1.7527769975131378,1.2520736455917358,-0.003582838297717217,-0.0032668125350028276,-0.34632400919508655,-0.37440304458141327,-0.3463240143173607,-0.37440305948257446,0.05258863131166436,0.050642652437090874,0.013542203847464407,0.012541662435978651,0.013616528995953558,0.012584707699716091,0.0005716346850022092,0.00040431797970086336,0.9791794400662184,1.0019506812095642,0.046448955705272965,0.03769218549132347,-0.5591426879982464,-0.584206223487854,-0.138615978663438,-0.13970720767974854,0.007596748688229127,0.007059239549562335,0.010879382329221698,0.009660147596150637,0.3402641853199384,0.3412977159023285,0.07967528441804461,0.07741864770650864,0.002179567783283015,0.0018641664064489305,0.026513396284495394,0.024630648083984852
time_only,0.3,0.7,0.7,0.03125,0.03125,0.0,0.0,0.0,0.0,0.05258863131166436,0.050642652437090874,0.26805322256404907,0.25119349360466003,0.2717084656469524,0.25517262518405914,0.028595462456905807,0.038730546832084656,-0.17273512269093771,-0.18028293550014496,0.22656974261553842,0.13139162957668304,0.03940056109058787,0.031705256551504135,0.9604836776852608,0.9759195148944855,0.960483674891293,0.9759194850921631,0.05258863131166436,0.050642652437090874,0.013542203847464407,0.012541662435978651,0.013616528995953558,0.012584707699716091,0.0005716346850022092,0.00040431797970086336,0.9791794400662184,1.0019506812095642,0.046448955705272965,0.03769218549132347,-0.5591426879982464,-0.584206223487854,-0.138615978663438,-0.13970720767974854,0.007596748688229127,0.007059239549562335,0.010879382329221698,0.009660147596150637,0.3402641853199384,0.3412977159023285,0.07967528441804461,0.07741864770650864,0.002179567783283015,0.0018641664064489305,0.026513396284495394,0.024630648083984852
anti_projected,0.4,0.7,0.7,0.03125,0.03125,0.010274342189404706,0.009581035003066063,-0.999999990221113,-1.0,0.06751275653368793,0.06553076207637787,0.3463879064656794,0.33692270517349243,0.34880151716060936,0.3373790830373764,0.05932141990160744,0.05580948106944561,-0.13784427670179866,-0.14728569239377975,0.339273356294143,0.2721400260925293,0.019978088986135845,0.019405354745686054,0.8369580808212049,0.8590143918991089,0.836958080297336,0.8590143918991089,0.056355765322223306,0.05488567240536213,0.01782214830564044,0.017239049077033997,0.017936022857611533,0.017268892377614975,0.0008741695376102143,0.0007063108496367931,1.0048023173585534,1.0040683150291443,0.048309311430784874,0.040203237906098366,-0.5183793609030545,-0.5270261764526367,-0.15914594489731826,-0.15791303664445877,0.009064359934200183,0.0086220926605165,0.015079543509273208,0.014234737493097782,0.28406505298335105,0.27775847911834717,0.08520051516825333,0.08383755385875702,0.0025419384483029717,0.0024042215663939714,0.02950385467556771,0.028654507361352444
