sample_id,step,time,construction,left_sigma,right_sigma,slope_direction_cosine,slope_rms_ratio
21,30,0.9491525292396545,oracle_clean_axis,0.7,1.0,0.9336577321633055,0.7379689058105262
21,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8043687287963724,0.7933301916275315
21,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.8578481684403173,0.7887270198807153
21,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8281087065282922,0.6232752206480248
21,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.8889079516974625,0.6802715099843591
21,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.8003380809984548,0.8918721532473287
21,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9068179878556052,0.6828814507153801
21,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.8315365984159784,0.7026597400973414
21,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9276296962121949,0.6406429910126551
21,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.8868891777277522,0.8343803802526004
21,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9306142137311917,0.7091802820110309
21,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.8840320916040548,0.7791194561120948
21,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9392638616817064,0.6851845458619841
21,95,0.29629629850387573,predicted_clean_axis,0.35,0.7,0.9474407826736126,0.6987285622181427
21,95,0.29629629850387573,predicted_clean_axis,0.7,1.0,0.9735633006946827,0.6519553075912369
21,95,0.29629629850387573,oracle_clean_axis,0.35,0.7,0.9436364011939149,0.6849784456223096
21,95,0.29629629850387573,oracle_clean_axis,0.7,1.0,0.9733447183989167,0.6478631197495273
21,98,0.14035087823867798,predicted_clean_axis,0.35,0.7,0.9628140198378505,0.6215143694484274
21,98,0.14035087823867798,predicted_clean_axis,0.7,1.0,0.9832722772295628,0.6205893659389439
21,98,0.14035087823867798,oracle_clean_axis,0.35,0.7,0.9609978223185441,0.61455921285145
21,98,0.14035087823867798,oracle_clean_axis,0.7,1.0,0.9830387702023916,0.6190563246497672
25,30,0.9491525292396545,predicted_clean_axis,0.35,0.7,0.9723434503968572,0.8741974060129731
25,30,0.9491525292396545,predicted_clean_axis,0.7,1.0,0.9865657650542188,0.8069780507479332
25,30,0.9491525292396545,oracle_clean_axis,0.35,0.7,0.9567881996423148,0.7020182156653193
25,30,0.9491525292396545,oracle_clean_axis,0.7,1.0,0.9812873097697457,0.7303001141783794
25,50,0.8888888955116272,predicted_clean_axis,0.35,0.7,0.8989771885261917,0.6568799504349421
25,50,0.8888888955116272,predicted_clean_axis,0.7,1.0,0.9531580085908288,0.6680565013575329
25,50,0.8888888955116272,oracle_clean_axis,0.35,0.7,0.8837971765977819,0.5578630781809126
25,50,0.8888888955116272,oracle_clean_axis,0.7,1.0,0.9649265735010375,0.6176752289081311
25,70,0.774193525314331,predicted_clean_axis,0.35,0.7,0.7885588187116744,0.699106557264843
25,70,0.774193525314331,predicted_clean_axis,0.7,1.0,0.9508834569189032,0.604734835560638
25,70,0.774193525314331,oracle_clean_axis,0.35,0.7,0.797973208341399,0.6044946061431943
25,70,0.774193525314331,oracle_clean_axis,0.7,1.0,0.9550250076948185,0.593681195133687
25,85,0.5853658318519592,predicted_clean_axis,0.35,0.7,0.8620620795605318,0.8613966668643139
25,85,0.5853658318519592,predicted_clean_axis,0.7,1.0,0.9485920437936549,0.655799146928444
25,85,0.5853658318519592,oracle_clean_axis,0.35,0.7,0.8580990456086292,0.7945601849739654
25,85,0.5853658318519592,oracle_clean_axis,0.7,1.0,0.9525665557929401,0.6407118992590736
25,95,0.29629629850387573,predicted_clean_axis,0.35,0.7,0.9444853829053168,0.7013357541174439
25,95,0.29629629850387573,predicted_clean_axis,0.7,1.0,0.9770890990884736,0.6311468153608112
25,95,0.29629629850387573,oracle_clean_axis,0.35,0.7,0.9402246263328446,0.6843249762006403
25,95,0.29629629850387573,oracle_clean_axis,0.7,1.0,0.9767277775721087,0.6264897250494749
25,98,0.14035087823867798,predicted_clean_axis,0.35,0.7,0.9622924559836881,0.6072960768217873
25,98,0.14035087823867798,predicted_clean_axis,0.7,1.0,0.9861923049800252,0.6003617736092247
25,98,0.14035087823867798,oracle_clean_axis,0.35,0.7,0.9605509366198338,0.6012642289402881
25,98,0.14035087823867798,oracle_clean_axis,0.7,1.0,0.9858336377077745,0.5998330845533729
29,30,0.9491525292396545,predicted_clean_axis,0.35,0.7,0.9030518372312322,0.9194228115809351
29,30,0.9491525292396545,predicted_clean_axis,0.7,1.0,0.8921867335272304,1.0338349658017099
29,30,0.9491525292396545,oracle_clean_axis,0.35,0.7,0.8783914118308358,0.7320823584894426
29,30,0.9491525292396545,oracle_clean_axis,0.7,1.0,0.9443619644747322,0.757622254251244
