experiment,metric_file,branch,fid,inception_score,sfid,sample_sha256,sample_path
raev2_pfr_retiming_v1,fid5k_seed20260905/legacy_metrics.json,pfr_h0p03125_r0p05,10.76113456503731,,,b34b31e21ace5d5f2627e5bc9c879b3970a6a3df76294964c8fddc7adda94c20,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid5k_seed20260905/pfr_h0p03125_r0p05/samples.npz
raev2_pfr_retiming_v1,fid5k_seed20260905/official_metrics.csv,ig_s1p78,7.034546250050255,154.53944091796876,,60a831119169a7e72591ffbd0e990992455b162d90eafd9713e0b6db98342f6e,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid5k_seed20260905/ig_s1p78/samples.npz
raev2_pfr_retiming_v1,fid5k_seed20260905/official_metrics.csv,pfr_h0p03125_r0p05,7.22421267350137,167.85522003173827,,b34b31e21ace5d5f2627e5bc9c879b3970a6a3df76294964c8fddc7adda94c20,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid5k_seed20260905/pfr_h0p03125_r0p05/samples.npz
raev2_pfr_retiming_v1,fid5k_seed20260905/official_metrics.json,ig_s1p78,7.034546250050255,154.53944091796876,,60a831119169a7e72591ffbd0e990992455b162d90eafd9713e0b6db98342f6e,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid5k_seed20260905/ig_s1p78/samples.npz
raev2_pfr_retiming_v1,fid5k_seed20260905/official_metrics.json,pfr_h0p03125_r0p05,7.22421267350137,167.85522003173827,,b34b31e21ace5d5f2627e5bc9c879b3970a6a3df76294964c8fddc7adda94c20,/data/users/zhoushunyu/eqvae/experiments/raev2_pfr_retiming_v1/fid5k_seed20260905/pfr_h0p03125_r0p05/samples.npz
raev2_bridge_counterfactual_ig_v1,fid1k_orthogonal_seed20260909/official_metrics.csv,ig_s1p78,38.528330210690854,59.2834171295166,,1535f9b7b786b40446f9f79cc96f225c0a5331785d460a98e68effc2917aaf53,/data/users/zhoushunyu/eqvae/experiments/raev2_bridge_counterfactual_ig_v1/fid1k_orthogonal_seed20260909/ig_s1p78/samples.npz
raev2_bridge_counterfactual_ig_v1,fid1k_orthogonal_seed20260909/official_metrics.csv,bridge_orthogonal,38.586740555412746,58.16508178710937,,ae46f2ed30b3ecdafbc4a84257d8b972d64c0f64a4cbd97572d5dbdc30f20e39,/data/users/zhoushunyu/eqvae/experiments/raev2_bridge_counterfactual_ig_v1/fid1k_orthogonal_seed20260909/bridge_orthogonal/samples.npz
raev2_bridge_counterfactual_ig_v1,fid1k_orthogonal_seed20260909/official_metrics.json,ig_s1p78,38.528330210690854,59.2834171295166,,1535f9b7b786b40446f9f79cc96f225c0a5331785d460a98e68effc2917aaf53,/data/users/zhoushunyu/eqvae/experiments/raev2_bridge_counterfactual_ig_v1/fid1k_orthogonal_seed20260909/ig_s1p78/samples.npz
raev2_bridge_counterfactual_ig_v1,fid1k_orthogonal_seed20260909/official_metrics.json,bridge_orthogonal,38.586740555412746,58.16508178710937,,ae46f2ed30b3ecdafbc4a84257d8b972d64c0f64a4cbd97572d5dbdc30f20e39,/data/users/zhoushunyu/eqvae/experiments/raev2_bridge_counterfactual_ig_v1/fid1k_orthogonal_seed20260909/bridge_orthogonal/samples.npz
raev2_bridge_counterfactual_ig_v1,fid1k_seed20260908/official_metrics.csv,ig_s1p78,38.48718487627309,58.22313804626465,,bdd24898d19e48a3770cb1dc2791fa6b4aa076a7d05f4a5b088ffb06f948da1d,/data/users/zhoushunyu/eqvae/experiments/raev2_bridge_counterfactual_ig_v1/fid1k_seed20260908/ig_s1p78/samples.npz
