seed_index,label,t,baseline_conditional_correct,delta_rms,delta_q_null,delta_q_conditional
53,3,0.125,True,-0.00993657112121582,-0.00014500388351734728,-0.24891036748886108
54,29,0.125,False,-0.0176393985748291,3.97703047383402e-07,0.006436488823965192
55,16,0.125,False,-0.004293322563171387,3.014990852534538e-06,-0.012801112607121468
56,99,0.125,False,-0.022420495748519897,-0.0051161006558686495,0.47178372740745544
57,42,0.125,False,-0.008008286356925964,-0.00012604436778929085,-0.0025387441273778677
58,96,0.125,True,-0.03675775229930878,-0.0030004573054611683,-0.0021061301231384277
59,83,0.125,True,-0.1632719188928604,0.007738067959508044,-0.00020647048950195312
60,57,0.125,False,-0.0940910279750824,-5.3262221854311065e-05,0.003891434520483017
61,23,0.125,True,-0.10807853937149048,-0.07375148725986946,-0.5707103181630373
62,21,0.125,False,-0.03598414361476898,0.053696665447205305,0.023532509803771973
63,49,0.125,False,-0.00186118483543396,-4.1251968241340364e-06,-1.9795697880908847e-07
0,24,0.375,True,-0.01236775517463684,0.15778029523789883,0.03387385606765747
1,63,0.375,False,-0.003831140697002411,-1.8422724679112434e-08,-2.3772823624312878e-05
2,87,0.375,False,-0.002142086625099182,-0.0002170941370422952,-0.007367767626419663
3,52,0.375,False,-0.004864931106567383,0.00011237034050282091,0.07397422357462347
4,84,0.375,False,-0.012125618755817413,0.00886083408840932,0.1972616035491228
5,56,0.375,False,-0.02156899869441986,4.952459130436182e-05,0.004075189353898168
6,91,0.375,True,-0.08565513789653778,0.05413144826889038,-0.0012502074241638184
7,58,0.375,False,-0.006159387528896332,0.0015326424763770774,0.005895882844924927
8,14,0.375,False,-0.012787215411663055,8.767954659560928e-05,0.13050496950745583
9,35,0.375,True,-0.027681857347488403,-0.022645923774689436,0.1983436942100525
10,79,0.375,False,-0.001056678593158722,1.6182122635655105e-05,0.00014288834063336253
11,92,0.375,False,-0.007304638624191284,7.055521109577967e-07,-2.6605539460433647e-06
12,68,0.375,False,-0.024059563875198364,0.00013089730146020884,0.2686064764857292
13,93,0.375,True,-0.007637441158294678,-0.008493542671203613,-0.0019322037696838379
14,95,0.375,False,-0.005114175379276276,-1.2714156127913157e-07,-1.4528071687891497e-06
15,34,0.375,False,-0.006320275366306305,3.2013934969654656e-06,0.04043717682361603
16,72,0.375,False,-0.00815611332654953,-2.2284932583716e-06,-0.0012808002647943795
17,15,0.375,True,-0.00822698324918747,0.211617574095726,0.07450228929519653
18,94,0.375,True,-0.0017655901610851288,-0.01425500214099884,0.035894811153411865
