experiment,gamma,fid,sfid,inception_score,num_samples,integrator,noise_sha256,label_sha256,total_nfe,elapsed_seconds,condition_name,fid_improvement_vs_baseline
depth12_v,0.6,83.59170125735386,219.44037963272706,29.334251403808594,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6724,49.52102221897803,gamma_schedule_sweep_v4_depth12_v_g0p6,1.3786358073234624
depth12_v,0.7,83.27428761005564,219.04394016122444,29.283733367919922,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6820,50.89309449202847,gamma_schedule_sweep_v4_depth12_v_g0p7,1.6960494546216864
depth12_v,0.8,83.1188564869683,218.57046653066436,29.32425880432129,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6790,50.220594616024755,gamma_schedule_sweep_v4_depth12_v_g0p8,1.851480577709026
depth12_v,0.9,82.82342015419192,218.1483290188104,29.37640380859375,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6778,49.497580491995905,gamma_schedule_sweep_v4_depth12_v_g0p9,2.146916910485402
depth12_v,1.0,82.61157019278022,217.7582741824075,29.4979190826416,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6682,49.8107314259978,gamma_schedule_sweep_v4_depth12_v_g1,2.358766871897103
depth4_v,0.0,84.97033706467732,222.25091085141594,29.52147102355957,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6676,48.78441646002466,gamma_schedule_sweep_v4_baseline_v800,0.0
depth4_v,0.1,74.27372572154457,217.05079039700695,31.33269500732422,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,6796,51.57287900702795,gamma_schedule_sweep_v4_depth4_v_g0p1,10.696611343132759
depth4_v,0.2,70.28414822632669,215.27009131630962,33.8288459777832,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,7720,90.93561438901816,gamma_schedule_sweep_v4_depth4_v_g0p2,14.686188838350631
depth4_v,0.25,69.73868613129753,215.618162740652,34.3632698059082,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8212,71.23927269596606,gamma_schedule_sweep_v4_depth4_v_g0p25,15.231650933379797
depth4_v,0.3,70.10888401971363,216.6793560933064,33.9614372253418,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8608,59.33528955001384,gamma_schedule_sweep_v4_depth4_v_g0p3,14.861453044963696
depth4_v,0.35,71.48666092138131,218.0049057309028,32.40947341918945,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8350,61.07290093699703,gamma_schedule_sweep_v4_depth4_v_g0p35,13.483676143296009
depth4_v,0.4,73.01053226829163,219.59501121156643,31.001136779785156,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,8668,59.686060194973834,gamma_schedule_sweep_v4_depth4_v_g0p4,11.959804796385697
depth4_v,0.45,74.54040369083577,221.14294812930984,29.767362594604492,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9022,61.92109070700826,gamma_schedule_sweep_v4_depth4_v_g0p45,10.42993337384155
depth4_v,0.5,76.0858489357878,222.66121949201874,28.173397064208984,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9418,65.35089440701995,gamma_schedule_sweep_v4_depth4_v_g0p5,8.88448812888953
depth4_v,0.55,78.22823688002296,224.3813619822938,27.06050682067871,1000,dopri5,ab8419c7fdfd5b15dacbf4d37a3d567158e4332f25fd94580d3df73bac87e2c2,7c3ae6894e7ebab5c9b6524606f03b6a56b38dccbe472ff40edde26e48654fe6,9886,68.98610733501846,gamma_schedule_sweep_v4_depth4_v_g0p55,6.742100184654362
