priority_block,arm,idea_id,family,role,strength,theta,fid,full_calls_per_image,sum_batch_gpu_seconds,auxiliary_decoder_images_per_output,auxiliary_classifier_images_per_output,complete
apg,i55_future_moment_apg_06,55,i55_future_moment_apg,candidate,2.0,0.1,48.17597066308838,902.0,924.0122162168846,21.0,21.0,True
apg,i55_future_moment_apg_07,55,i55_future_moment_apg,candidate,2.0,1.0,47.76700310350844,902.0,923.7383702993393,21.0,21.0,True
apg,i55_future_moment_apg_08,55,i55_future_moment_apg,candidate,2.0,10.0,47.533955488767276,902.0,924.2693744744174,21.0,21.0,True
apg,i55_future_moment_apg_09,55,i55_future_moment_apg,candidate,2.75,0.1,52.741147603326795,902.0,922.668351768516,21.0,21.0,True
apg,i55_future_moment_apg_10,55,i55_future_moment_apg,candidate,2.75,1.0,52.370376284206145,902.0,924.6888222377747,21.0,21.0,True
apg,i55_future_moment_apg_11,55,i55_future_moment_apg,candidate,2.75,10.0,51.886233129634036,902.0,923.5246533001773,21.0,21.0,True
apg,clean_apg_04,,clean_apg,control,0.5,-0.5,63.15875918426235,224.0,174.12542154220864,0.0,0.0,True
apg,clean_apg_13,,clean_apg,control,1.25,-0.5,47.50612382976408,224.0,177.43310320517048,0.0,0.0,True
apg,clean_apg_22,,clean_apg,control,2.0,-0.5,44.4998279222749,224.0,167.44665996124968,0.0,0.0,True
apg,clean_apg_31,,clean_apg,control,2.75,-0.5,45.677749873933635,224.0,166.0838289456442,0.0,0.0,True
control,i53_finite_semantic_control_00,53,i53_finite_semantic_control,candidate,0.5,0.05,53.0777308913203,516.0,629.1853172155097,18.0,18.0,True
control,i53_finite_semantic_control_01,53,i53_finite_semantic_control,candidate,0.5,0.15,53.05053634887412,516.0,625.7592740091495,18.0,18.0,True
control,i53_finite_semantic_control_02,53,i53_finite_semantic_control,candidate,0.5,0.3,53.04542008402569,516.0,625.1835396620445,18.0,18.0,True
control,i53_finite_semantic_control_03,53,i53_finite_semantic_control,candidate,1.25,0.05,45.73069134018732,516.0,626.6908521582372,18.0,18.0,True
control,i53_finite_semantic_control_04,53,i53_finite_semantic_control,candidate,1.25,0.15,45.777006589598386,516.0,625.6349475570023,18.0,18.0,True
control,i53_finite_semantic_control_05,53,i53_finite_semantic_control,candidate,1.25,0.3,45.79513034703308,516.0,626.1597067248076,18.0,18.0,True
control,i53_finite_semantic_control_06,53,i53_finite_semantic_control,candidate,2.0,0.05,50.59999937977983,516.0,623.9999228906818,18.0,18.0,True
control,i53_finite_semantic_control_07,53,i53_finite_semantic_control,candidate,2.0,0.15,50.70505380831537,516.0,624.183151525911,18.0,18.0,True
control,i53_finite_semantic_control_08,53,i53_finite_semantic_control,candidate,2.0,0.3,50.75022349729363,516.0,625.3242868678644,18.0,18.0,True
control,i53_finite_semantic_control_09,53,i53_finite_semantic_control,candidate,2.75,0.05,55.25037489667102,516.0,627.0269946400076,18.0,18.0,True
control,i53_finite_semantic_control_10,53,i53_finite_semantic_control,candidate,2.75,0.15,55.24064551744118,516.0,624.8299660952762,18.0,18.0,True
control,i53_finite_semantic_control_11,53,i53_finite_semantic_control,candidate,2.75,0.3,55.20537430548029,516.0,623.3438678616658,18.0,18.0,True
control,i52_verified_semantic_step_00,52,i52_verified_semantic_step,candidate,0.5,1.0,53.3226960630318,488.0,517.4294858155772,12.0,12.0,True
control,i52_verified_semantic_step_01,52,i52_verified_semantic_step,candidate,0.5,1.5,53.483656313669144,488.0,516.2161852340214,12.0,12.0,True
control,i52_verified_semantic_step_02,52,i52_verified_semantic_step,candidate,0.5,2.0,53.69535657024693,488.0,515.9507739036344,12.0,12.0,True
control,i52_verified_semantic_step_03,52,i52_verified_semantic_step,candidate,1.25,1.0,45.740021719930155,488.0,518.7275562044233,12.0,12.0,True
control,i52_verified_semantic_step_04,52,i52_verified_semantic_step,candidate,1.25,1.5,45.69853326119761,488.0,520.4399151592515,12.0,12.0,True
