gamma,response_scale,fid,sfid,inception_score,total_nfe,num_samples,global_seed,condition,replicate_count,fid_replicate_spread,noise_fingerprint,label_fingerprint
2.00,1.40,75.33255137567625,215.33274868622982,28.961851119995117,8134,1000,0,response_g2p0_r1p40_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.00,1.45,75.63042594693775,215.57890644690588,28.733949661254883,7942,1000,0,response_g2p0_r1p45_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.00,1.50,76.49965541807819,216.16129746173272,28.374797821044922,7918,1000,0,response_g2p0_r1p50_n1000_seed0,2,0.00221698864652,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,0.50,84.74084908617817,222.01604898363303,29.930910110473633,8074,1000,0,response_g2p5_r0p5_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,0.75,83.74680903165284,221.10695294702873,30.943008422851562,8038,1000,0,response_g2p5_r0p75_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,1.00,80.45476945374952,218.58832679922182,30.802875518798828,7936,1000,0,response_g2p5_r1p0_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,1.05,79.2176994014826,217.94886593726858,30.568622589111328,7936,1000,0,response_g2p5_r1p05_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,1.10,77.78394826507599,217.27954795721382,30.07838249206543,7954,1000,0,response_g2p5_r1p10_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,1.15,77.22205301078424,216.48863506315456,30.08013153076172,7888,1000,0,response_g2p5_r1p15_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,1.20,76.53434174863207,215.87887455724115,30.204954147338867,7936,1000,0,response_g2p5_r1p20_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,1.25,75.61098365757232,215.5649327268012,29.772464752197266,7936,1000,0,response_g2p5_r1p25_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,1.30,75.5664816020012,215.31322131884372,29.339759826660156,7954,1000,0,response_g2p5_r1p30_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,1.35,75.17245155029696,215.2172462326546,29.841670989990234,8110,1000,0,response_g2p5_r1p35_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,1.40,75.54677523142732,215.53750017752782,29.033527374267578,7972,1000,0,response_g2p5_r1p40_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
2.50,1.45,76.39274476463407,215.8263168461192,28.47744369506836,8176,1000,0,response_g2p5_r1p45_n1000_seed0,1,0,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758
