arm,idea_id,family,role,strength,theta,fid,sfid,inception_score,full_calls_per_image,prefix_calls_per_image,auxiliary_full_calls_per_image,sum_batch_gpu_seconds,complete
cfg_apg_00,,cfg_apg,control,1.0,-0.75,51.18766742313221,214.7835679665401,50.10065841674805,224.0,0.0,0.0,169.23358955560252,True
cfg_apg_01,,cfg_apg,control,1.0,-0.5,49.45803765041455,214.2121494712369,52.27239227294922,224.0,0.0,0.0,171.45998942106962,True
cfg_apg_02,,cfg_apg,control,1.0,-0.25,47.47382891935416,213.37790009370792,55.2226676940918,224.0,0.0,0.0,170.46134712686762,True
cfg_apg_03,,cfg_apg,control,1.5,-0.75,46.67701882803533,212.7647662836672,57.83570098876953,224.0,0.0,0.0,172.31911150366068,True
cfg_apg_04,,cfg_apg,control,1.5,-0.5,45.586721640696794,211.8850622521294,60.135711669921875,224.0,0.0,0.0,171.82069878699258,True
cfg_apg_05,,cfg_apg,control,1.5,-0.25,44.58375356357385,211.1772595898493,62.71829605102539,224.0,0.0,0.0,170.57364822365344,True
cfg_apg_06,,cfg_apg,control,2.0,-0.75,44.65624588800671,211.20802513149636,62.38055419921875,224.0,0.0,0.0,169.58979628095403,True
cfg_apg_07,,cfg_apg,control,2.0,-0.5,44.20543954569666,210.73813337573415,63.8240966796875,224.0,0.0,0.0,169.34151355177164,True
cfg_apg_08,,cfg_apg,control,2.0,-0.25,44.71158949445817,209.61903314872598,66.69261932373047,224.0,0.0,0.0,170.3076086412184,True
cfg_apg_09,,cfg_apg,control,2.5,-0.75,44.11646725738899,210.16992910871818,65.68315887451172,224.0,0.0,0.0,170.64492068439722,True
cfg_apg_10,,cfg_apg,control,2.5,-0.5,44.911418211971636,209.48378710674012,67.34857940673828,224.0,0.0,0.0,169.13793217623606,True
cfg_apg_11,,cfg_apg,control,2.5,-0.25,46.443168370261844,208.99023151738243,67.70799255371094,224.0,0.0,0.0,171.73583401553333,True
cfg_apg_12,,cfg_apg,control,3.0,-0.75,45.07852450454607,209.4242266389757,67.55606079101562,224.0,0.0,0.0,171.45150816440582,True
cfg_apg_13,,cfg_apg,control,3.0,-0.5,46.52614964647364,208.90057672306682,67.9616470336914,224.0,0.0,0.0,171.24774891557172,True
cfg_apg_14,,cfg_apg,control,3.0,-0.25,49.265073689241035,209.07584279994205,69.64238739013672,224.0,0.0,0.0,170.19568515801802,True
fsg_operator_control_00,,fsg_operator_control,control,0.75,0.0625,46.53516907043786,206.30769642244923,64.96995544433594,260.0,0.0,36.0,192.13544484693557,True
fsg_operator_control_01,,fsg_operator_control,control,0.75,0.125,47.213010085013195,206.75782719603444,64.165283203125,260.0,0.0,36.0,194.00749448081478,True
fsg_operator_control_02,,fsg_operator_control,control,1.25,0.0625,54.7850484770853,204.29192479200628,70.0691909790039,260.0,0.0,36.0,192.97173683298752,True
fsg_operator_control_03,,fsg_operator_control,control,1.25,0.125,53.95230073250002,203.75527161743298,69.62754821777344,260.0,0.0,36.0,192.3951719268225,True
fsg_operator_control_04,,fsg_operator_control,control,1.75,0.0625,60.62475116697709,206.03223163130303,72.27550506591797,260.0,0.0,36.0,193.41760294465348,True
fsg_operator_control_05,,fsg_operator_control,control,1.75,0.125,59.76349023763464,204.88253123369032,70.09849548339844,260.0,0.0,36.0,191.10830020392314,True
fsg_operator_control_06,,fsg_operator_control,control,2.25,0.0625,63.746551253338,207.86223871796585,73.52987670898438,260.0,0.0,36.0,192.62292112782598,True
fsg_operator_control_07,,fsg_operator_control,control,2.25,0.125,64.42790882132459,206.96279892869734,71.94129180908203,260.0,0.0,36.0,191.63611719571054,True
fsg_operator_control_08,,fsg_operator_control,control,2.75,0.0625,66.24017876122844,210.18862413406157,72.91717529296875,260.0,0.0,36.0,192.0326908924617,True
fsg_operator_control_09,,fsg_operator_control,control,2.75,0.125,67.60750832127775,209.21650438392567,71.78900146484375,260.0,0.0,36.0,191.050557566341,True
plain_root_control_00,,plain_root_control,control,0.75,0.5,47.34045302012669,210.3539074663081,55.35136795043945,488.0,0.0,264.0,331.343983433675,True
plain_root_control_01,,plain_root_control,control,0.75,1.0,47.156469715507,210.72895959787968,55.605804443359375,488.0,0.0,264.0,329.7077587558888,True
plain_root_control_02,,plain_root_control,control,1.25,0.5,44.67397053600456,206.68885623605115,63.554962158203125,488.0,0.0,264.0,330.42075956612825,True
plain_root_control_03,,plain_root_control,control,1.25,1.0,44.390866318903704,207.55422180058451,61.94810104370117,488.0,0.0,264.0,333.1836332832463,True
plain_root_control_04,,plain_root_control,control,1.75,0.5,46.996359975171,205.86898359272232,68.99736785888672,488.0,0.0,264.0,332.9841365907341,True
plain_root_control_05,,plain_root_control,control,1.75,1.0,45.76960660693095,206.99428067132862,66.25816345214844,488.0,0.0,264.0,334.5376928630285,True
plain_root_control_06,,plain_root_control,control,2.25,0.5,49.998676162325125,206.17593812914333,70.1779556274414,488.0,0.0,264.0,338.1543669323437,True
plain_root_control_07,,plain_root_control,control,2.25,1.0,48.40454355046728,207.2432212551107,67.63713073730469,488.0,0.0,264.0,332.8902464294806,True
plain_root_control_08,,plain_root_control,control,2.75,0.5,53.20221477265471,207.3136765875529,71.59884643554688,488.0,0.0,264.0,334.577165662311,True
plain_root_control_09,,plain_root_control,control,2.75,1.0,50.35012458623686,208.12537934314832,70.44161224365234,488.0,0.0,264.0,332.48261050786823,True
f01_anchor_root_00,1,f01_anchor_root,candidate,0.75,0.1,49.418310027308735,211.4459689272852,52.64875411987305,488.0,0.0,264.0,331.57221110118553,True
f01_anchor_root_01,1,f01_anchor_root,candidate,0.75,1.0,47.85016177436205,210.24740582743584,54.428306579589844,488.0,0.0,264.0,333.44563852017745,True
f01_anchor_root_02,1,f01_anchor_root,candidate,1.25,0.1,44.67333854538674,208.6000520252246,60.28363037109375,488.0,0.0,264.0,331.65495717385784,True
f01_anchor_root_03,1,f01_anchor_root,candidate,1.25,1.0,45.055852376080736,206.4697442494463,63.88316345214844,488.0,0.0,264.0,333.72934974962845,True
f01_anchor_root_04,1,f01_anchor_root,candidate,1.75,0.1,45.252178432425694,206.84540344345055,66.58432006835938,488.0,0.0,264.0,335.6520599015057,True
f01_anchor_root_05,1,f01_anchor_root,candidate,1.75,1.0,47.16082286176072,205.24653069844476,67.34883880615234,488.0,0.0,264.0,335.091970176436,True
f01_anchor_root_06,1,f01_anchor_root,candidate,2.25,0.1,47.51998513567111,206.63992932973338,69.43911743164062,488.0,0.0,264.0,334.6682921452448,True
f01_anchor_root_07,1,f01_anchor_root,candidate,2.25,1.0,50.66667468190661,205.8221026293894,69.56459045410156,488.0,0.0,264.0,333.1620922386646,True
f01_anchor_root_08,1,f01_anchor_root,candidate,2.75,0.1,50.55288649320545,207.21390990367024,70.5087890625,488.0,0.0,264.0,331.758658030536,True
f01_anchor_root_09,1,f01_anchor_root,candidate,2.75,1.0,54.19598311404991,206.66622401768245,71.56554412841797,488.0,0.0,264.0,333.3507598983124,True
f02_noise_shell_root_00,2,f02_noise_shell_root,candidate,0.75,0.5,47.289520792703456,210.3844155296582,55.38339614868164,488.0,0.0,264.0,334.43842228641734,True
f02_noise_shell_root_01,2,f02_noise_shell_root,candidate,0.75,1.0,47.24562433649555,210.82942567898772,55.31148147583008,488.0,0.0,264.0,331.3296028464101,True
f02_noise_shell_root_02,2,f02_noise_shell_root,candidate,1.25,0.5,44.662200388709834,206.77864626275937,63.4334602355957,488.0,0.0,264.0,332.6951253567822,True
f02_noise_shell_root_03,2,f02_noise_shell_root,candidate,1.25,1.0,44.72993965611818,207.82684276788996,62.62550735473633,488.0,0.0,264.0,334.9811707441695,True
f02_noise_shell_root_04,2,f02_noise_shell_root,candidate,1.75,0.5,46.867393736840256,206.02326807770078,68.63294219970703,488.0,0.0,264.0,332.36590727604926,True
f02_noise_shell_root_05,2,f02_noise_shell_root,candidate,1.75,1.0,45.500961271662334,206.73468422081305,67.12933349609375,488.0,0.0,264.0,337.10462252562866,True
f02_noise_shell_root_06,2,f02_noise_shell_root,candidate,2.25,0.5,49.99058326949296,206.19427525223318,70.35973358154297,488.0,0.0,264.0,331.7401794651523,True
f02_noise_shell_root_07,2,f02_noise_shell_root,candidate,2.25,1.0,48.28826314850966,207.38422022254804,68.05624389648438,488.0,0.0,264.0,334.01721298275515,True
f02_noise_shell_root_08,2,f02_noise_shell_root,candidate,2.75,0.5,53.40836896957228,207.14581590039143,70.59194946289062,488.0,0.0,264.0,334.4415304074064,True
f02_noise_shell_root_09,2,f02_noise_shell_root,candidate,2.75,1.0,50.298676898238,208.28807739220292,70.19783782958984,488.0,0.0,264.0,333.8114901133813,True
f03_horizon_consensus_00,3,f03_horizon_consensus,candidate,0.75,0.25,47.4492256427734,211.06066844452482,55.602596282958984,680.0,0.0,456.0,453.3509904574603,True
f03_horizon_consensus_01,3,f03_horizon_consensus,candidate,0.75,0.75,47.229791737000085,210.97312402993066,56.37309265136719,680.0,0.0,456.0,450.4875491997227,True
f03_horizon_consensus_02,3,f03_horizon_consensus,candidate,1.25,0.25,44.37923323952134,207.83004079245848,62.03290557861328,680.0,0.0,456.0,449.95992789184675,True
f03_horizon_consensus_03,3,f03_horizon_consensus,candidate,1.25,0.75,44.50338893848857,207.5765345913876,62.103553771972656,680.0,0.0,456.0,453.0083307432942,True
f03_horizon_consensus_04,3,f03_horizon_consensus,candidate,1.75,0.25,45.958246964152295,207.2697383671059,67.43247985839844,680.0,0.0,456.0,450.3596793282777,True
f03_horizon_consensus_05,3,f03_horizon_consensus,candidate,1.75,0.75,46.140396988558734,207.30729871391623,67.43621063232422,680.0,0.0,456.0,451.66663644090295,True
f03_horizon_consensus_06,3,f03_horizon_consensus,candidate,2.25,0.25,48.1663468019496,207.5012677330501,68.84014892578125,680.0,0.0,456.0,449.99784238729626,True
f03_horizon_consensus_07,3,f03_horizon_consensus,candidate,2.25,0.75,48.44661155950382,207.92083947803758,68.71258544921875,680.0,0.0,456.0,448.76278610993177,True
f03_horizon_consensus_08,3,f03_horizon_consensus,candidate,2.75,0.25,50.639622684775475,208.24268080308343,69.96338653564453,680.0,0.0,456.0,448.7479260433465,True
f03_horizon_consensus_09,3,f03_horizon_consensus,candidate,2.75,0.75,50.618349722104995,208.28155941549176,70.97550964355469,680.0,0.0,456.0,447.0212909793481,True
f04_neighborhood_root_00,4,f04_neighborhood_root,candidate,0.75,0.005,47.55555676518975,211.03644897704248,55.372093200683594,632.0,0.0,408.0,420.6580526130274,True
f04_neighborhood_root_01,4,f04_neighborhood_root,candidate,0.75,0.02,47.252892096151186,210.87150112508084,56.08232116699219,632.0,0.0,408.0,421.44139669137076,True
f04_neighborhood_root_02,4,f04_neighborhood_root,candidate,1.25,0.005,44.61489764553903,207.69497116624473,62.43539810180664,632.0,0.0,408.0,419.8408248377964,True
f04_neighborhood_root_03,4,f04_neighborhood_root,candidate,1.25,0.02,44.469090889129575,207.85518826103612,62.008216857910156,632.0,0.0,408.0,423.61131206853315,True
f04_neighborhood_root_04,4,f04_neighborhood_root,candidate,1.75,0.005,45.882053466972366,207.1254219274,67.1202163696289,632.0,0.0,408.0,419.81675053574145,True
f04_neighborhood_root_05,4,f04_neighborhood_root,candidate,1.75,0.02,45.77207930005568,206.67242797599317,67.82904815673828,632.0,0.0,408.0,420.46367045119405,True
f04_neighborhood_root_06,4,f04_neighborhood_root,candidate,2.25,0.005,47.85686974083774,207.73473137706708,68.65150451660156,632.0,0.0,408.0,418.91162535734475,True
f04_neighborhood_root_07,4,f04_neighborhood_root,candidate,2.25,0.02,48.04064190879296,207.5646107396401,68.5941390991211,632.0,0.0,408.0,424.40127759752795,True
f04_neighborhood_root_08,4,f04_neighborhood_root,candidate,2.75,0.005,50.177520088705364,208.33171995063458,69.89762878417969,632.0,0.0,408.0,421.55992379412055,True
f04_neighborhood_root_09,4,f04_neighborhood_root,candidate,2.75,0.02,50.52117850813545,208.4408499700221,70.32058715820312,632.0,0.0,408.0,421.9681721776724,True
f05_patch_bottleneck_00,5,f05_patch_bottleneck,candidate,0.75,1.0,47.625334310369794,211.42754739783697,54.927799224853516,488.0,0.0,264.0,332.321450334508,True
f05_patch_bottleneck_01,5,f05_patch_bottleneck,candidate,0.75,4.0,47.94186033078495,211.35483574021532,55.22369384765625,488.0,0.0,264.0,333.27318712789565,True
f05_patch_bottleneck_02,5,f05_patch_bottleneck,candidate,1.25,1.0,44.48111411192497,207.87390395633724,62.298980712890625,488.0,0.0,264.0,333.1962988576852,True
f05_patch_bottleneck_03,5,f05_patch_bottleneck,candidate,1.25,4.0,44.757958518552186,208.09683899537526,63.37770462036133,488.0,0.0,264.0,331.2360432338901,True
f05_patch_bottleneck_04,5,f05_patch_bottleneck,candidate,1.75,1.0,45.95451770378685,207.14624991758774,66.69487762451172,488.0,0.0,264.0,331.74397484678775,True
f05_patch_bottleneck_05,5,f05_patch_bottleneck,candidate,1.75,4.0,45.97198759872265,207.2471677720473,67.7236557006836,488.0,0.0,264.0,333.17434552917257,True
f05_patch_bottleneck_06,5,f05_patch_bottleneck,candidate,2.25,1.0,47.927452990155075,207.09922016319092,68.95520782470703,488.0,0.0,264.0,334.02944711595774,True
f05_patch_bottleneck_07,5,f05_patch_bottleneck,candidate,2.25,4.0,47.516984067112446,207.13658082147776,68.32147216796875,488.0,0.0,264.0,334.66036354517564,True
f05_patch_bottleneck_08,5,f05_patch_bottleneck,candidate,2.75,1.0,50.18741533992409,207.5481931560597,70.9410629272461,488.0,0.0,264.0,337.96307095931843,True
f05_patch_bottleneck_09,5,f05_patch_bottleneck,candidate,2.75,4.0,49.51458765792205,207.54332563648063,71.42327117919922,488.0,0.0,264.0,333.1785375280306,True
f06_cycle_defect_00,6,f06_cycle_defect,candidate,0.75,0.5,45.247739501424576,207.70616025442075,63.189048767089844,368.0,0.0,144.0,259.7789113325998,True
f06_cycle_defect_01,6,f06_cycle_defect,candidate,0.75,1.0,45.22263852460452,208.21705398008157,60.25132369995117,368.0,0.0,144.0,260.7930985731073,True
f06_cycle_defect_02,6,f06_cycle_defect,candidate,1.25,0.5,48.996817697998495,204.39077758394387,68.83368682861328,368.0,0.0,144.0,256.58614326035604,True
f06_cycle_defect_03,6,f06_cycle_defect,candidate,1.25,1.0,47.90444801398297,205.92905263911803,69.26464080810547,368.0,0.0,144.0,257.65678917849436,True
f06_cycle_defect_04,6,f06_cycle_defect,candidate,1.75,0.5,54.57831267931107,204.64627450536705,71.58588409423828,368.0,0.0,144.0,259.12984845461324,True
f06_cycle_defect_05,6,f06_cycle_defect,candidate,1.75,1.0,53.496580919936264,206.49441225661815,71.6567153930664,368.0,0.0,144.0,262.6933175609447,True
f06_cycle_defect_06,6,f06_cycle_defect,candidate,2.25,0.5,60.16969029387644,206.0870498905224,73.19657135009766,368.0,0.0,144.0,260.4421627991833,True
f06_cycle_defect_07,6,f06_cycle_defect,candidate,2.25,1.0,58.06557280477375,208.38117277427045,73.99446868896484,368.0,0.0,144.0,258.71695820149034,True
f06_cycle_defect_08,6,f06_cycle_defect,candidate,2.75,0.5,63.06208920875309,207.86403885925188,73.2170181274414,368.0,0.0,144.0,260.1816032123752,True
f06_cycle_defect_09,6,f06_cycle_defect,candidate,2.75,1.0,60.79125832852395,210.18817629919567,73.40470123291016,368.0,0.0,144.0,261.1726695811376,True
f07_condition_continuum_00,7,f07_condition_continuum,candidate,0.75,0.25,47.5253854587678,211.02126301509384,55.43351364135742,584.0,0.0,360.0,394.56436528777704,True
f07_condition_continuum_01,7,f07_condition_continuum,candidate,0.75,0.75,47.51590374373586,210.89360856711778,55.68262481689453,584.0,0.0,360.0,396.66353848204017,True
f07_condition_continuum_02,7,f07_condition_continuum,candidate,1.25,0.25,44.346355730175105,207.94026731623785,61.526485443115234,584.0,0.0,360.0,392.7159261573106,True
f07_condition_continuum_03,7,f07_condition_continuum,candidate,1.25,0.75,44.508034815390545,207.84936272109735,61.106075286865234,584.0,0.0,360.0,394.15904314816,True
f07_condition_continuum_04,7,f07_condition_continuum,candidate,1.75,0.25,45.16687708147231,207.2993054847044,66.89923095703125,584.0,0.0,360.0,396.4314654003829,True
f07_condition_continuum_05,7,f07_condition_continuum,candidate,1.75,0.75,45.4717648241886,207.1581884185308,66.60601043701172,584.0,0.0,360.0,389.70121092442423,True
f07_condition_continuum_06,7,f07_condition_continuum,candidate,2.25,0.25,47.63408870944397,207.80882317287,67.69685363769531,584.0,0.0,360.0,391.8754584682174,True
f07_condition_continuum_07,7,f07_condition_continuum,candidate,2.25,0.75,47.77676053506684,207.52391657583667,69.13581848144531,584.0,0.0,360.0,394.3387593384832,True
f07_condition_continuum_08,7,f07_condition_continuum,candidate,2.75,0.25,49.548889319072146,208.36135421792255,70.05732727050781,584.0,0.0,360.0,396.98307283222675,True
f07_condition_continuum_09,7,f07_condition_continuum,candidate,2.75,0.75,50.483011155172676,208.36967861210883,70.4011459350586,584.0,0.0,360.0,401.2154257618822,True
f08_endpoint_cotangent_00,8,f08_endpoint_cotangent,candidate,0.75,0.125,46.02336907611158,205.08411214332227,65.86764526367188,368.0,0.0,144.0,259.52323080878705,True
f08_endpoint_cotangent_01,8,f08_endpoint_cotangent,candidate,0.75,0.25,45.93016688192648,205.1592152322388,65.73369598388672,368.0,0.0,144.0,261.61628580419347,True
f08_endpoint_cotangent_02,8,f08_endpoint_cotangent,candidate,1.25,0.125,53.16454283354847,206.32419584664274,70.94999694824219,368.0,0.0,144.0,263.4852811843157,True
f08_endpoint_cotangent_03,8,f08_endpoint_cotangent,candidate,1.25,0.25,52.738714292481404,205.9961632808795,71.44525146484375,368.0,0.0,144.0,262.32270332658663,True
f08_endpoint_cotangent_04,8,f08_endpoint_cotangent,candidate,1.75,0.125,57.59451042192654,208.55538712542796,71.24137115478516,368.0,0.0,144.0,263.3038874845952,True
f08_endpoint_cotangent_05,8,f08_endpoint_cotangent,candidate,1.75,0.25,57.106156136342975,208.5452039491928,70.94972229003906,368.0,0.0,144.0,263.80106712598354,True
f08_endpoint_cotangent_06,8,f08_endpoint_cotangent,candidate,2.25,0.125,59.93707344447654,210.34835104052377,70.93067169189453,368.0,0.0,144.0,260.1647564410232,True
f08_endpoint_cotangent_07,8,f08_endpoint_cotangent,candidate,2.25,0.25,59.34411843712479,210.15594516050942,70.65828704833984,368.0,0.0,144.0,261.44329468440264,True
f08_endpoint_cotangent_08,8,f08_endpoint_cotangent,candidate,2.75,0.125,62.56739091862306,212.04721864314251,70.37184143066406,368.0,0.0,144.0,259.96502693230286,True
f08_endpoint_cotangent_09,8,f08_endpoint_cotangent,candidate,2.75,0.25,61.934475573263796,211.85691390172383,70.75005340576172,368.0,0.0,144.0,259.06894345674664,True
f09_covariance_agreement_00,9,f09_covariance_agreement,candidate,0.75,0.1,47.74917115451393,209.651204152961,55.02130126953125,576.0,0.0,352.0,389.72324181580916,True
f09_covariance_agreement_01,9,f09_covariance_agreement,candidate,0.75,1.0,47.762277738496266,209.69578069642785,54.647666931152344,576.0,0.0,352.0,391.1114318887703,True
f09_covariance_agreement_02,9,f09_covariance_agreement,candidate,1.25,0.1,45.035453796205616,206.35475100023245,64.77500915527344,576.0,0.0,352.0,390.9829746321775,True
f09_covariance_agreement_03,9,f09_covariance_agreement,candidate,1.25,1.0,45.02770354838486,206.46555920031096,64.5638427734375,576.0,0.0,352.0,395.4544272022322,True
f09_covariance_agreement_04,9,f09_covariance_agreement,candidate,1.75,0.1,47.197457980182605,205.15419052824723,67.48809814453125,576.0,0.0,352.0,393.63704684283584,True
f09_covariance_agreement_05,9,f09_covariance_agreement,candidate,1.75,1.0,47.15502592917181,205.21288226573415,67.37504577636719,576.0,0.0,352.0,393.4957545241341,True
f09_covariance_agreement_06,9,f09_covariance_agreement,candidate,2.25,0.1,51.22158311997771,205.93275836632165,70.2659912109375,576.0,0.0,352.0,393.316630335059,True
f09_covariance_agreement_07,9,f09_covariance_agreement,candidate,2.25,1.0,51.09128945971764,205.96178931407496,70.30445861816406,576.0,0.0,352.0,391.6877327566035,True
f09_covariance_agreement_08,9,f09_covariance_agreement,candidate,2.75,0.1,54.79017634099853,206.76917483429293,72.4366226196289,576.0,0.0,352.0,391.68865738390014,True
f09_covariance_agreement_09,9,f09_covariance_agreement,candidate,2.75,1.0,54.722964187036155,206.75588681970942,72.54519653320312,576.0,0.0,352.0,394.15158969257027,True
f10_shared_ambiguity_00,10,f10_shared_ambiguity,candidate,0.75,0.1,50.01252881098037,211.42662356570884,52.48104476928711,510.0,0.0,286.0,354.23294147942215,True
f10_shared_ambiguity_01,10,f10_shared_ambiguity,candidate,0.75,1.0,49.81647012943074,211.3964710105654,52.752891540527344,510.0,0.0,286.0,347.2173948753625,True
f10_shared_ambiguity_02,10,f10_shared_ambiguity,candidate,1.25,0.1,46.8126103500141,209.1243428790682,56.316375732421875,510.0,0.0,286.0,346.7015766608529,True
f10_shared_ambiguity_03,10,f10_shared_ambiguity,candidate,1.25,1.0,46.63204865861161,209.0205214415647,56.698829650878906,510.0,0.0,286.0,343.4989705933258,True
f10_shared_ambiguity_04,10,f10_shared_ambiguity,candidate,1.75,0.1,47.40497990534743,208.4136392338254,59.35139465332031,510.0,0.0,286.0,346.4163887007162,True
f10_shared_ambiguity_05,10,f10_shared_ambiguity,candidate,1.75,1.0,47.16538526433061,208.19945809312708,59.304176330566406,510.0,0.0,286.0,345.33188111381605,True
f10_shared_ambiguity_06,10,f10_shared_ambiguity,candidate,2.25,0.1,48.730417184982684,208.40085819327305,61.63733673095703,510.0,0.0,286.0,344.66114954231307,True
f10_shared_ambiguity_07,10,f10_shared_ambiguity,candidate,2.25,1.0,48.48107446591928,208.44259105732374,61.69029235839844,510.0,0.0,286.0,346.062530787196,True
f10_shared_ambiguity_08,10,f10_shared_ambiguity,candidate,2.75,0.1,50.29652127682414,208.57942052518115,60.65896987915039,510.0,0.0,286.0,345.51754306955263,True
f10_shared_ambiguity_09,10,f10_shared_ambiguity,candidate,2.75,1.0,49.726666869590304,208.45917513189806,62.189876556396484,510.0,0.0,286.0,343.06166844116524,True
f11_renoise_readability_00,11,f11_renoise_readability,candidate,0.75,0.25,47.74411907644759,209.6057183554799,55.360530853271484,344.0,0.0,120.0,248.16524898074567,True
f11_renoise_readability_01,11,f11_renoise_readability,candidate,0.75,0.5,47.96394426188573,209.78609163537863,54.912113189697266,344.0,0.0,120.0,248.06888088211417,True
f11_renoise_readability_02,11,f11_renoise_readability,candidate,1.25,0.25,45.44773891122901,206.4612404047382,64.95084381103516,344.0,0.0,120.0,248.68398930691183,True
f11_renoise_readability_03,11,f11_renoise_readability,candidate,1.25,0.5,45.21354324003477,206.30781619825984,64.0040283203125,344.0,0.0,120.0,250.08069279277697,True
f11_renoise_readability_04,11,f11_renoise_readability,candidate,1.75,0.25,47.591942256166476,206.01967414727187,68.22097778320312,344.0,0.0,120.0,251.4041555216536,True
f11_renoise_readability_05,11,f11_renoise_readability,candidate,1.75,0.5,47.249725689781485,205.71319940829585,67.71710205078125,344.0,0.0,120.0,248.94438255950809,True
f11_renoise_readability_06,11,f11_renoise_readability,candidate,2.25,0.25,50.50096722904823,206.77261756060102,69.65032196044922,344.0,0.0,120.0,248.98795463051647,True
f11_renoise_readability_07,11,f11_renoise_readability,candidate,2.25,0.5,50.47660743731791,206.1660916275357,69.5311279296875,344.0,0.0,120.0,253.06876553967595,True
f11_renoise_readability_08,11,f11_renoise_readability,candidate,2.75,0.25,53.58072724302656,207.5269221229854,71.24996948242188,344.0,0.0,120.0,244.58800965966657,True
f11_renoise_readability_09,11,f11_renoise_readability,candidate,2.75,0.5,53.99579696359103,206.91701801183945,71.33906555175781,344.0,0.0,120.0,248.8834059019573,True
f12_conditional_idempotence_00,12,f12_conditional_idempotence,candidate,0.75,0.25,47.15339762167514,210.2538081319958,56.492950439453125,344.0,0.0,120.0,247.76406263792887,True
f12_conditional_idempotence_01,12,f12_conditional_idempotence,candidate,0.75,0.5,47.13603645147276,209.4629296695507,56.6806640625,344.0,0.0,120.0,247.0921456827782,True
f12_conditional_idempotence_02,12,f12_conditional_idempotence,candidate,1.25,0.25,45.38469520410132,207.1497788934862,63.11231994628906,344.0,0.0,120.0,244.26573829585686,True
f12_conditional_idempotence_03,12,f12_conditional_idempotence,candidate,1.25,0.5,45.20058135585782,206.77311766842195,63.936946868896484,344.0,0.0,120.0,246.25748496688902,True
f12_conditional_idempotence_04,12,f12_conditional_idempotence,candidate,1.75,0.25,47.277433755433265,205.6445190395974,67.41708374023438,344.0,0.0,120.0,249.00009503774345,True
f12_conditional_idempotence_05,12,f12_conditional_idempotence,candidate,1.75,0.5,47.15857778443376,205.76059198222163,67.73786926269531,344.0,0.0,120.0,247.86115757422522,True
